group,run_name,run_dir,seed,test_acc,test_macro_f1,test_teacher_agreement,dataset_npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0004_bs64_seed144,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0014_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0004_bs64_seed144,144,0.9017000000000001,0.878827,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs64_seed109,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0015_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs64_seed109,109,0.8427,0.79789,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0004_bs128_seed120,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0016_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0004_bs128_seed120,120,0.8427,0.785167,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs128_seed152,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0017_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs128_seed152,152,0.8933,0.861503,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs64_seed117,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0018_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs64_seed117,117,0.8118000000000001,0.778226,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs64_seed137,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0019_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs64_seed137,137,0.8904000000000001,0.863405,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs96_seed155,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0020_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs96_seed155,155,0.9185,0.879642,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs128_seed127,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0021_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs128_seed127,127,0.9073,0.877887,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0002_bs128_seed122,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0022_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0002_bs128_seed122,122,0.9045000000000001,0.861749,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0002_bs96_seed136,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0023_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0002_bs96_seed136,136,0.8876000000000001,0.867258,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
