Seam_Name,Label,Feat_0_Mean,Feat_1_Mean,Feat_2_Mean,Feat_3_Mean,Feat_4_Mean,Feat_5_Mean,Feat_6_Mean,Feat_7_Mean,Feat_8_Mean,Feat_9_Mean,Feat_10_Mean,Feat_11_Mean,Feat_12_Mean,Feat_13_Mean,Feat_14_Mean,Feat_15_Mean,Feat_16_Mean,Feat_17_Mean
b01,2,0.31505945,0.24471328,0.3809783,0.22948618,0.3587859,0.109856114,0.7011132,0.29286623,0.259978,0.16178007,0.6163478,-0.49417132,0.0027855218,0.6598593,0.43302116,0.37371826,0.21245539,0.10861856
c01,2,1.261556,0.015427542,1.0320089,-0.71405613,1.339624,-0.65392995,0.6197172,0.65484947,1.3541753,1.1962492,1.405331,0.46363696,-0.71457183,1.0884145,1.0314819,1.1464399,-0.2770584,0.7567356
c01,1,-0.76008177,-0.555391,-0.48831886,0.31709704,-0.6623343,-0.18913819,-0.19383356,-0.39554167,-1.2755579,-0.8638603,-0.96762866,-0.28543997,0.5449446,-0.7928377,-0.57924473,-0.6404953,0.12747295,0.278154
b01,2,0.644029,0.89336616,0.42013615,0.06462774,0.6158474,0.80337656,0.6398317,0.100891486,-0.53862417,1.091122,0.6026756,1.3880142,-0.48027143,0.6794338,0.7553768,0.7415987,0.31278986,0.3753148
b01,2,0.31603947,0.6857972,0.22621486,-0.06725902,0.37306705,0.589404,0.35251218,-0.1697929,0.44788438,0.11712079,0.6189145,-0.5835329,0.029729802,0.73815745,0.4075163,0.41904727,-0.005603224,0.17216754
b01,2,0.25031155,-0.066640094,0.40694958,-0.034287356,0.3516453,-0.38970995,0.3176856,0.23719354,0.5418376,0.16938402,0.5415057,-0.38931212,0.20680675,0.69900846,0.5221531,0.4543798,0.2908768,0.10233271
c01,1,-0.6640311,-0.40170908,-0.5346703,0.45183736,-0.6572633,-0.05300405,0.056062996,-0.5089327,-0.42514667,-0.61126125,-0.65039206,-0.42730993,0.62733054,-1.2694217,-0.7866634,-0.8367302,0.22027569,0.7589764
b01,0,-1.3080269,-0.32610124,-1.5055789,0.49325973,-1.4906285,-0.052069128,-0.40931997,-0.8570625,-1.384203,-1.4202085,-1.6918834,-0.5559422,0.9931054,-3.0201526,-3.6270747,-3.1102211,-1.03478,-1.4605169
c02,2,0.57872427,-0.065380074,0.047924858,0.7226575,0.3131145,-0.07243462,1.0074914,-0.6672477,0.34562907,0.58186424,0.69692355,-1.2324195,-1.2745614,0.24549869,0.026427314,0.16178861,-0.38365015,0.10085864
c01,2,1.1792269,0.6740643,0.90222484,-0.7110049,1.3020246,-0.013083875,0.6389227,0.6714752,1.2756758,1.0897583,1.3338041,0.2993118,-0.58205247,0.912831,0.893339,1.0210737,-0.4046134,0.7529453
c02,2,1.1085184,-0.98842525,0.64819753,0.59651756,0.66246635,-1.1359706,1.2034345,-0.54361165,0.84192294,1.1376202,1.0700738,0.8138367,-0.07089122,0.88974553,0.90304756,0.87764007,0.4614838,0.02271447
