feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,label
-0.6182926793094053,0.05933664542150652,-0.423426819434063,0.13323522551336836,-0.40939429018372514,0.3030799010783809,-0.2040544273069162,-0.26304378797621136,-1.1185589015724906,-0.6840106224999029,-0.8002079891779964,-0.20084171443352214,0.40510624255525224,0.11016342600534593,-0.2577018408362693,-0.22749172724215388,-0.42576838168133563,-0.24105969126814494,quasistable
-0.5725542671778865,-1.1481640889061515,-0.608832645695132,1.0140055057426303,-0.7683266456378227,-0.7267503571806359,0.8055182092672974,-0.9074895668214755,-1.053142653904131,-0.7306067633225692,-0.7678363294091135,-0.4890221799895317,0.3088281380473897,-0.1406702208991359,-0.46393857233171415,-0.47295119306833117,-0.2048572474854536,-0.45110101225694543,quasistable
-0.8012463278354806,-0.05043614860828058,-0.423426819434063,-0.10784950226675952,-0.5290171709692798,0.23234395599668786,-0.7920083695544781,-0.06607979518092899,-1.1185589015724906,-0.811289013807407,-0.9369490002017354,-0.19926882927177103,0.6252409588748205,0.11016342600534593,-0.27637022881955153,-0.3313995097661565,-0.012030676646500071,-0.4702551482564361,quasistable
-0.7326387096382023,-0.7090729127870031,-0.2843724497382613,-0.11421527090704864,-0.4862858341434924,-0.41967759374746677,-0.6922251683458641,0.03824154206427568,-1.3148076445775692,-0.8516903340213882,-0.8872746351018396,-0.5401444103495882,0.3912711478533675,0.23558024945758685,0.23868775287768249,-0.34617396671082096,2.6605956187254316,-0.3997468716128595,quasistable
-0.6411618853751647,-1.0383912948763645,-1.1186986679130715,1.6661977666762449,-1.3298811418238714,-0.7035819402957069,0.8159352800734333,-1.4094375099531748,-1.1839751492408501,-0.7508499885153542,-0.8261620471745159,-0.3668533540546814,0.33656124181687186,-0.015253397446894985,-0.7595592875015154,-0.59809172808766,-1.0072205011258393,-3.4500313227868054,quasistable
-0.8698539460327588,0.7179734096002292,-1.3041044941741404,1.5344125438915792,-1.3221104798581769,1.3177076611282161,0.4583289977831155,-1.282753420872413,-1.3148076445775692,-0.8784190280642872,-0.9682073301603851,-0.34912466432969563,0.4874474725635875,0.11016342600534593,-0.8601000837031937,-0.7287395082854641,-0.8158725051576439,-2.2327827362631574,quasistable
-0.709769503572443,0.05933664542150652,-1.1186986679130715,1.3922718712487625,-1.1833709982031635,0.40189258552964774,0.5495371080665549,-1.2183882713766212,-1.1839751492408501,-0.7900534498574653,-0.8539314709762563,-0.4201473601789184,0.32914655233777496,-0.2660870443513768,-0.8756570710335183,-0.7626013250254061,-0.7081462164974518,-2.5142437183004334,quasistable
-0.6869002975066836,-1.2579368829359387,-1.1650501244783387,2.0335585741925573,-1.441516002892743,-0.6015703584364847,1.2859218676710098,-1.5749234684406292,-0.9877264062357716,-0.7414726294756105,-0.8910401008931379,-0.09434395035615126,0.5291135348526534,-0.015253397446894985,-0.8349877824777767,-0.7314157197978958,-0.6744206330766688,-2.1339874651211694,quasistable
-0.9155923581642776,-0.05043614860828058,-1.211401581043606,1.4444370351510025,-1.3608614690025,0.5076713122539545,0.3444987666179787,-1.2510271041175602,-1.1185589015724906,-0.8622655519330014,-0.9582015444136395,-0.3225062518111675,0.6251031948787811,-0.015253397446894985,-0.8575225194686376,-0.7334726426958805,-0.7770289108925538,-2.2525178338432075,quasistable
-0.7555079157039618,-0.37975453069764187,-1.0259957547825371,1.0131144150636149,-1.1445484587764674,-0.1741461335486471,-0.028975494456919788,-1.0054705429990758,-1.3148076445775692,-0.8466082462027318,-0.9710083828676597,-0.21035962486835083,0.46765751040045633,0.11016342600534593,-0.652574572746215,-0.5352781686223199,-0.8063641333132515,-3.690690622807788,quasistable
-0.709769503572443,-0.5993001187572161,-0.9332928416520025,1.087614959070978,-1.0522099770544702,-0.22581318713654483,0.28284891836286036,-1.018911187656328,-1.1185589015724906,-0.7501482979996257,-0.9311837955156232,0.02543789359280295,0.5367751808346201,0.23558024945758685,-0.5688795486478838,-0.46240116917221596,-0.7674422504728294,-2.424419776346669,quasistable
-0.709769503572443,-0.8188457068167903,-0.8869413850867354,1.2936789024592117,-1.0494557355159477,-0.3460964377034155,0.727479452746663,-1.1144743682316849,-1.3148076445775692,-0.8232676107056035,-0.9081158854984982,-0.3546936264623971,0.27988657535539174,-0.015253397446894985,-0.6344400211813342,-0.593734590336015,-0.4134699325880141,-1.607124948079691,quasistable
-0.6411618853751647,-1.3677096769657258,-0.5161297325645975,0.5994427110887751,-0.692307452583526,-0.933505885286454,0.13305351615218805,-0.644927157790007,-1.1839751492408501,-0.7169341351066127,-0.9719657046790068,0.32885259265420297,0.4275497405224217,0.23558024945758685,-0.32250736501509886,-0.3566134033543564,-0.10849154713040532,-1.3235315578254723,quasistable
-0.7326387096382023,-1.4774824709955128,-0.423426819434063,0.31858778086454204,-0.6696935389676432,-1.087505139955707,-0.26035462562731393,-0.43090420039292887,-1.1839751492408501,-0.7838586292487796,-0.9278508973576003,-0.1239327826258897,0.5494032081695059,0.23558024945758685,-0.26188090370305384,-0.2846653368259229,-0.17274382275748074,-1.1473671211447147,quasistable
-0.5268158550463677,-1.2579368829359387,-0.8869413850867354,1.6030343452269271,-1.0875644168557097,-0.8300379100067147,1.1994261594496116,-1.321929958762715,-1.053142653904131,-0.6873135529189585,-0.7938613001323994,-0.23591731936910146,0.3111900983697845,-0.5169206912558586,-0.7919620469351871,-0.6759230364533401,-0.759665854814933,-1.3838669712799572,quasistable
-0.7555079157039618,-1.2579368829359387,-0.7015355588256664,0.8442663466608097,-0.941063983670769,-0.7995761503956701,0.19080398300710605,-0.8359509192685074,-1.053142653904131,-0.7686974939195254,-0.9401542554515788,-0.01478850280936069,0.6089191990678012,-0.2660870443513768,-0.6043937087345119,-0.5879840532018641,-0.29440940152694955,-1.1354955506387965,quasistable
