x,y,value_pct,n_runs,s1_recall_pct
1.1,0.0,96.83259259259259,27,96.83259259259259
1.3,0.0,98.795,2,98.795
1.0,0.1,99.7,4,99.7
1.2000000000000002,0.1,95.27384615384615,13,95.27384615384615
1.2,0.2,98.37058823529412,17,98.37058823529412
1.4,0.2,100.0,1,100.0
1.3,0.3,97.59,1,97.59
1.4,0.3,97.89333333333333,24,97.89333333333333
1.5,0.3,97.19083333333333,12,97.19083333333333
1.6,0.3,100.0,1,100.0
