stage,config_id,base_config_id,seed,epochs,batch_size,checkpoint_metric,job_output_root,temperature,lambda_ce,lambda_kd,lambda_feat,lr,weight_decay,weighted_sampler,student_lstm_layers,student_lstm_dropout,student_classifier_hidden,student_classifier_dropout,run_dir,status,elapsed_sec,test_acc,test_macro_f1,test_teacher_agreement,best_epoch,best_score,target_reached
stage2,s2_s1_l3_o2_c0_r2,s1_l3_o2_c0,42,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage2/s2_s1_l3_o2_c0_r2,3.0,0.8,1.3,0.30000000000000004,0.00025,0.0001,True,1,0.2,64,0.3,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage2/s2_s1_l3_o2_c0_r2/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs128_T3.0_lce0.8_lkd1.3_lf0.30000000000000004_seed42,success,4.04,0.9579000000000001,0.953406,0.8989,10,0.957865,True
stage2,s2_s1_l3_o2_c1_r1,s1_l3_o2_c1,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage2/s2_s1_l3_o2_c1_r1,3.0,0.8,1.2,0.2,0.00015000000000000001,0.0001,True,2,0.3,64,0.35,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage2/s2_s1_l3_o2_c1_r1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015000000000000001_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed14,success,6.03,0.8961,0.852898,0.9719,52,0.896067,False
stage2,s2_s1_l3_o2_c1_r2,s1_l3_o2_c1,42,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage2/s2_s1_l3_o2_c1_r2,3.0,0.8,1.3,0.30000000000000004,0.00025,0.0001,True,2,0.3,64,0.35,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage2/s2_s1_l3_o2_c1_r2/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs128_T3.0_lce0.8_lkd1.3_lf0.30000000000000004_seed42,success,3.99,0.9521999999999999,0.945404,0.8652,5,0.952247,True
stage3,s3_s2_s1_l3_o2_c0_r2,s2_s1_l3_o2_c0_r2,77,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage3/s3_s2_s1_l3_o2_c0_r2/seed_77,3.0,0.8,1.3,0.30000000000000004,0.00025,0.0001,True,1,0.2,64,0.3,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage3/s3_s2_s1_l3_o2_c0_r2/seed_77/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs128_T3.0_lce0.8_lkd1.3_lf0.30000000000000004_seed77,success,3.92,0.9579000000000001,0.948886,0.8876000000000001,7,0.957865,True
stage3,s3_s2_s1_l3_o2_c0_r2,s2_s1_l3_o2_c0_r2,122,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage3/s3_s2_s1_l3_o2_c0_r2/seed_122,3.0,0.8,1.3,0.30000000000000004,0.00025,0.0001,True,1,0.2,64,0.3,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage3/s3_s2_s1_l3_o2_c0_r2/seed_122/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs128_T3.0_lce0.8_lkd1.3_lf0.30000000000000004_seed122,success,4.79,0.9045000000000001,0.872902,0.9634999999999999,28,0.904494,True
stage3,s3_s2_s1_l3_o2_c0_r2,s2_s1_l3_o2_c0_r2,183,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage3/s3_s2_s1_l3_o2_c0_r2/seed_183,3.0,0.8,1.3,0.30000000000000004,0.00025,0.0001,True,1,0.2,64,0.3,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage3/s3_s2_s1_l3_o2_c0_r2/seed_183/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs128_T3.0_lce0.8_lkd1.3_lf0.30000000000000004_seed183,success,3.77,0.9719,0.966781,0.9017000000000001,8,0.97191,True
stage3,s3_s2_s1_l3_o2_c0_r2,s2_s1_l3_o2_c0_r2,230,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage3/s3_s2_s1_l3_o2_c0_r2/seed_230,3.0,0.8,1.3,0.30000000000000004,0.00025,0.0001,True,1,0.2,64,0.3,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage3/s3_s2_s1_l3_o2_c0_r2/seed_230/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs128_T3.0_lce0.8_lkd1.3_lf0.30000000000000004_seed230,success,3.92,0.9326000000000001,0.92841,0.9073,10,0.932584,True
stage3,s3_s2_s1_l3_o2_c1_r2,s2_s1_l3_o2_c1_r2,77,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage3/s3_s2_s1_l3_o2_c1_r2/seed_77,3.0,0.8,1.3,0.30000000000000004,0.00025,0.0001,True,2,0.3,64,0.35,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage3/s3_s2_s1_l3_o2_c1_r2/seed_77/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs128_T3.0_lce0.8_lkd1.3_lf0.30000000000000004_seed77,success,4.42,0.927,0.894788,0.9579000000000001,30,0.926966,True
stage3,s3_s2_s1_l3_o2_c1_r2,s2_s1_l3_o2_c1_r2,122,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage3/s3_s2_s1_l3_o2_c1_r2/seed_122,3.0,0.8,1.3,0.30000000000000004,0.00025,0.0001,True,2,0.3,64,0.35,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage3/s3_s2_s1_l3_o2_c1_r2/seed_122/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs128_T3.0_lce0.8_lkd1.3_lf0.30000000000000004_seed122,success,5.58,0.9213,0.880769,0.9521999999999999,40,0.921348,True
stage3,s3_s2_s1_l3_o2_c1_r2,s2_s1_l3_o2_c1_r2,183,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage3/s3_s2_s1_l3_o2_c1_r2/seed_183,3.0,0.8,1.3,0.30000000000000004,0.00025,0.0001,True,2,0.3,64,0.35,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage3/s3_s2_s1_l3_o2_c1_r2/seed_183/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs128_T3.0_lce0.8_lkd1.3_lf0.30000000000000004_seed183,success,5.78,0.9045000000000001,0.870607,0.9466,43,0.904494,True
stage3,s3_s2_s1_l3_o2_c1_r2,s2_s1_l3_o2_c1_r2,230,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage3/s3_s2_s1_l3_o2_c1_r2/seed_230,3.0,0.8,1.3,0.30000000000000004,0.00025,0.0001,True,2,0.3,64,0.35,ablation_experiments/h1/results/run_20260327_131013/ablation2_teacher_student_lstm/students/ablation2_h1_scan90_run_20260327_131013/stage3/s3_s2_s1_l3_o2_c1_r2/seed_230/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs128_T3.0_lce0.8_lkd1.3_lf0.30000000000000004_seed230,success,3.94,0.9944,0.992959,0.9073,6,0.994382,True
