stage,config_id,base_config_id,seed,epochs,batch_size,checkpoint_metric,job_output_root,freeze_teacher_epochs,temperature,lambda_ce,lambda_kd,lambda_feat,lr_teacher,lr_student,weight_decay,student_tcn_layers,student_tcn_dropout,student_classifier_hidden,student_classifier_dropout,student_attn_dropout,student_attn_ff_dim,student_tcn_dilation_base,run_dir,status,elapsed_sec,test_acc,test_macro_f1,test_teacher_agreement,best_epoch,best_score,target_reached
stage2,s2_s0_l4_c7_r1,s0_l4_c7,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage2/s2_s0_l4_c7_r1,0,2.5,0.9,1.1,0.0,0.0001,0.00024999999999999995,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage2/s2_s0_l4_c7_r1/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0001_lrs0.00024999999999999995_bs128_T2.5_lce0.9_lkd1.1_lf0.0_seed14,success,7.7,0.9551000000000001,0.939485,0.9494,4,0.955056,True
stage2,s2_s0_l4_c7_r2,s0_l4_c7,42,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage2/s2_s0_l4_c7_r2,0,2.5,0.9,1.2000000000000002,0.1,0.0001,0.00035,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage2/s2_s0_l4_c7_r2/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0001_lrs0.00035_bs128_T2.5_lce0.9_lkd1.2000000000000002_lf0.1_seed42,success,8.94,0.8454999999999999,0.813392,0.8848,10,0.845506,False
stage3,s3_s0_l4p_c0,s0_l4p_c0,132,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage3/s3_s0_l4p_c0/seed_132,0,2.0,0.9,1.2,0.1,0.0001,0.0003,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage3/s3_s0_l4p_c0/seed_132/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0001_lrs0.0003_bs128_T2.0_lce0.9_lkd1.2_lf0.1_seed132,success,6.82,0.9551000000000001,0.937809,0.9521999999999999,2,0.955056,True
stage3,s3_s0_l4p_c0,s0_l4p_c0,230,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage3/s3_s0_l4p_c0/seed_230,0,2.0,0.9,1.2,0.1,0.0001,0.0003,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage3/s3_s0_l4p_c0/seed_230/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0001_lrs0.0003_bs128_T2.0_lce0.9_lkd1.2_lf0.1_seed230,success,7.96,0.9298000000000001,0.905478,0.9521999999999999,4,0.929775,True
stage3,s3_s0_l4p_c0,s0_l4p_c0,314,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage3/s3_s0_l4p_c0/seed_314,0,2.0,0.9,1.2,0.1,0.0001,0.0003,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage3/s3_s0_l4p_c0/seed_314/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0001_lrs0.0003_bs128_T2.0_lce0.9_lkd1.2_lf0.1_seed314,success,6.96,0.9551000000000001,0.941085,0.9606999999999999,3,0.955056,True
stage3,s3_s0_l4p_c0,s0_l4p_c0,512,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage3/s3_s0_l4p_c0/seed_512,0,2.0,0.9,1.2,0.1,0.0001,0.0003,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage3/s3_s0_l4p_c0/seed_512/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0001_lrs0.0003_bs128_T2.0_lce0.9_lkd1.2_lf0.1_seed512,success,7.19,0.8792,0.845857,0.8933,4,0.879213,False
stage3,s3_s0_l4p_c7,s0_l4p_c7,132,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage3/s3_s0_l4p_c7/seed_132,0,2.0,0.9,1.2,0.1,0.0001,0.0003,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage3/s3_s0_l4p_c7/seed_132/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0001_lrs0.0003_bs128_T2.0_lce0.9_lkd1.2_lf0.1_seed132,success,6.85,0.9551000000000001,0.937809,0.9521999999999999,2,0.955056,True
stage3,s3_s0_l4p_c7,s0_l4p_c7,230,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage3/s3_s0_l4p_c7/seed_230,0,2.0,0.9,1.2,0.1,0.0001,0.0003,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage3/s3_s0_l4p_c7/seed_230/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0001_lrs0.0003_bs128_T2.0_lce0.9_lkd1.2_lf0.1_seed230,success,7.69,0.9298000000000001,0.905478,0.9521999999999999,4,0.929775,True
stage3,s3_s0_l4p_c7,s0_l4p_c7,314,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage3/s3_s0_l4p_c7/seed_314,0,2.0,0.9,1.2,0.1,0.0001,0.0003,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage3/s3_s0_l4p_c7/seed_314/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0001_lrs0.0003_bs128_T2.0_lce0.9_lkd1.2_lf0.1_seed314,success,7.47,0.9551000000000001,0.941085,0.9606999999999999,3,0.955056,True
stage3,s3_s0_l4p_c7,s0_l4p_c7,512,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage3/s3_s0_l4p_c7/seed_512,0,2.0,0.9,1.2,0.1,0.0001,0.0003,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage3/s3_s0_l4p_c7/seed_512/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0001_lrs0.0003_bs128_T2.0_lce0.9_lkd1.2_lf0.1_seed512,success,7.27,0.8792,0.845857,0.8933,4,0.879213,False
