stage,config_id,base_config_id,seed,epochs,batch_size,checkpoint_metric,job_output_root,freeze_teacher_epochs,temperature,lambda_ce,lambda_kd,lambda_feat,lr_teacher,lr_student,weight_decay,student_tcn_layers,student_tcn_dropout,student_classifier_hidden,student_classifier_dropout,student_attn_dropout,student_attn_ff_dim,student_tcn_dilation_base,run_dir,status,elapsed_sec,test_acc,test_macro_f1,test_teacher_agreement,best_epoch,best_score,target_reached
stage1,s1_l3_o2_c0,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l3_o2_c0,0,3.0,0.8,1.1,0.0,0.0001,0.0003,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l3_o2_c0/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0001_lrs0.0003_bs128_T3.0_lce0.8_lkd1.1_lf0.0_seed14,success,7.31,0.9691,0.955364,0.9606999999999999,3,0.969101,True
stage1,s1_l3_o2_c7,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l3_o2_c7,0,3.0,0.8,1.1,0.0,0.0001,0.0003,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l3_o2_c7/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0001_lrs0.0003_bs128_T3.0_lce0.8_lkd1.1_lf0.0_seed14,success,7.02,0.9691,0.955364,0.9606999999999999,3,0.969101,True
stage1,s1_l3_o3_c0,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l3_o3_c0,0,3.0,0.8,1.1,0.0,0.0002,0.0003,0.0002,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l3_o3_c0/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0002_lrs0.0003_bs128_T3.0_lce0.8_lkd1.1_lf0.0_seed14,success,7.63,0.9691,0.955364,0.9606999999999999,3,0.969101,True
stage1,s1_l3_o3_c7,,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l3_o3_c7,0,3.0,0.8,1.1,0.0,0.0002,0.0003,0.0002,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage1/s1_l3_o3_c7/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0002_lrs0.0003_bs128_T3.0_lce0.8_lkd1.1_lf0.0_seed14,success,7.97,0.9691,0.955364,0.9606999999999999,3,0.969101,True
stage2,s2_s0_l4p_c0_r1,s0_l4p_c0,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage2/s2_s0_l4p_c0_r1,0,2.0,0.9,1.2,0.1,0.0001,0.00024999999999999995,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage2/s2_s0_l4p_c0_r1/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0001_lrs0.00024999999999999995_bs128_T2.0_lce0.9_lkd1.2_lf0.1_seed14,success,7.4,0.9551000000000001,0.939464,0.9521999999999999,3,0.955056,True
stage2,s2_s0_l4p_c0_r2,s0_l4p_c0,42,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage2/s2_s0_l4p_c0_r2,0,2.0,0.9,1.3,0.2,0.0001,0.00035,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage2/s2_s0_l4p_c0_r2/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0001_lrs0.00035_bs128_T2.0_lce0.9_lkd1.3_lf0.2_seed42,success,9.26,0.8454999999999999,0.817645,0.8736,10,0.845506,False
stage2,s2_s0_l4p_c7_r1,s0_l4p_c7,122,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage2/s2_s0_l4p_c7_r1,0,2.0,0.9,1.2,0.1,0.0001,0.00024999999999999995,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage2/s2_s0_l4p_c7_r1/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0001_lrs0.00024999999999999995_bs128_T2.0_lce0.9_lkd1.2_lf0.1_seed122,success,6.95,0.8904000000000001,0.845991,0.9073,3,0.890449,False
stage2,s2_s0_l4p_c7_r2,s0_l4p_c7,14,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage2/s2_s0_l4p_c7_r2,0,2.0,0.9,1.3,0.2,0.0001,0.00035,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage2/s2_s0_l4p_c7_r2/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0001_lrs0.00035_bs128_T2.0_lce0.9_lkd1.3_lf0.2_seed14,success,7.38,0.9662999999999999,0.94975,0.9579000000000001,3,0.966292,True
stage2,s2_s0_l4_c0_r1,s0_l4_c0,42,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage2/s2_s0_l4_c0_r1,0,2.5,0.9,1.1,0.0,0.0001,0.00024999999999999995,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage2/s2_s0_l4_c0_r1/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0001_lrs0.00024999999999999995_bs128_T2.5_lce0.9_lkd1.1_lf0.0_seed42,success,11.68,0.8399,0.813174,0.8848,23,0.839888,False
stage2,s2_s0_l4_c0_r2,s0_l4_c0,122,80,128,test_acc,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage2/s2_s0_l4_c0_r2,0,2.5,0.9,1.2000000000000002,0.1,0.0001,0.00035,0.00015,3,0.12,64,0.3,0.05,128,1,ablation_experiments/h1/results/run_20260327_131013/ablation3_joint_tcn_attn/ablation3_h1_scan90_run_20260327_131013_rerun/stage2/s2_s0_l4_c0_r2/ablation3_joint_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lrt0.0001_lrs0.00035_bs128_T2.5_lce0.9_lkd1.2000000000000002_lf0.1_seed122,success,7.68,0.9073,0.867539,0.941,6,0.907303,True
