stage,config_id,base_config_id,seed,epochs,batch_size,checkpoint_metric,job_output_root,temperature,lambda_ce,lambda_kd,lambda_feat,lr,weight_decay,weighted_sampler,student_lstm_layers,student_lstm_dropout,student_classifier_hidden,student_classifier_dropout,run_dir,status,elapsed_sec,val_macro_f1,test_acc,test_macro_f1,test_teacher_agreement,best_epoch,best_score,target_reached
stage1,s1_l2_o2_c0,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l2_o2_c0,2.5,0.9,1.1,0.0,0.0002,0.0001,True,1,0.2,64,0.3,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l2_o2_c0/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0002_bs128_T2.5_lce0.9_lkd1.1_lf0.0_seed14,success,9.97,0.969728,0.8848,0.839799,0.9551000000000001,40,0.969728,False
stage1,s1_l2_o2_c1,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l2_o2_c1,2.5,0.9,1.1,0.0,0.0002,0.0001,True,2,0.3,64,0.35,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l2_o2_c1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0002_bs128_T2.5_lce0.9_lkd1.1_lf0.0_seed14,success,9.17,0.980663,0.8792,0.828186,0.9606999999999999,32,0.980663,False
stage1,s1_l2_o3_c0,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l2_o3_c0,2.5,0.9,1.1,0.0,0.0003,0.0002,False,1,0.2,64,0.3,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l2_o3_c0/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs128_T2.5_lce0.9_lkd1.1_lf0.0_seed14,success,8.01,0.986227,0.868,0.814219,0.9551000000000001,23,0.986227,False
stage1,s1_l2_o3_c1,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l2_o3_c1,2.5,0.9,1.1,0.0,0.0003,0.0002,False,2,0.3,64,0.35,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l2_o3_c1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs128_T2.5_lce0.9_lkd1.1_lf0.0_seed14,success,7.34,0.986227,0.8764,0.825175,0.9634999999999999,21,0.986227,False
stage1,s1_l3_o0_c0,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l3_o0_c0,3.0,0.8,1.2,0.2,0.0001,1e-05,True,1,0.2,64,0.3,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l3_o0_c0/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed14,success,9.32,0.951356,0.8482999999999999,0.830089,0.9073,34,0.951356,False
stage1,s1_l3_o0_c1,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l3_o0_c1,3.0,0.8,1.2,0.2,0.0001,1e-05,True,2,0.3,64,0.35,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l3_o0_c1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed14,success,9.08,0.967262,0.8595999999999999,0.80668,0.9521999999999999,29,0.967262,False
stage1,s1_l3_o1_c0,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l3_o1_c0,3.0,0.8,1.2,0.2,0.00015,1e-05,True,1,0.2,64,0.3,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l3_o1_c0/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed14,success,5.96,0.956604,0.8454999999999999,0.825261,0.9157,22,0.956604,False
stage1,s1_l3_o1_c1,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l3_o1_c1,3.0,0.8,1.2,0.2,0.00015,1e-05,True,2,0.3,64,0.35,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l3_o1_c1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed14,success,7.24,0.967262,0.8623999999999999,0.81138,0.9551000000000001,20,0.967262,False
stage1,s1_l3_o2_c0,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l3_o2_c0,3.0,0.8,1.2,0.2,0.0002,0.0001,True,1,0.2,64,0.3,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l3_o2_c0/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed14,success,9.8,0.969728,0.8904000000000001,0.849018,0.9606999999999999,40,0.969728,False
stage1,s1_l3_o2_c1,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l3_o2_c1,3.0,0.8,1.2,0.2,0.0002,0.0001,True,2,0.3,64,0.35,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l3_o2_c1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0002_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed14,success,6.97,0.967262,0.8595999999999999,0.80668,0.9521999999999999,15,0.967262,False
stage1,s1_l3_o3_c0,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l3_o3_c0,3.0,0.8,1.2,0.2,0.0003,0.0002,False,1,0.2,64,0.3,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l3_o3_c0/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed14,success,7.86,0.986227,0.8904000000000001,0.850704,0.9775,24,0.986227,False
stage1,s1_l3_o3_c1,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l3_o3_c1,3.0,0.8,1.2,0.2,0.0003,0.0002,False,2,0.3,64,0.35,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l3_o3_c1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs128_T3.0_lce0.8_lkd1.2_lf0.2_seed14,success,8.64,0.986227,0.8848,0.837617,0.9719,28,0.986227,False
stage1,s1_l4_o0_c0,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l4_o0_c0,3.5,0.7,1.4,0.3,0.0001,1e-05,True,1,0.2,64,0.3,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l4_o0_c0/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs128_T3.5_lce0.7_lkd1.4_lf0.3_seed14,success,9.16,0.956604,0.8482999999999999,0.829319,0.9129,36,0.956604,False
stage1,s1_l4_o0_c1,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l4_o0_c1,3.5,0.7,1.4,0.3,0.0001,1e-05,True,2,0.3,64,0.35,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l4_o0_c1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs128_T3.5_lce0.7_lkd1.4_lf0.3_seed14,success,8.88,0.967262,0.8623999999999999,0.809816,0.9494,31,0.967262,False
