stage,config_id,base_config_id,seed,epochs,batch_size,checkpoint_metric,job_output_root,temperature,lambda_ce,lambda_kd,lambda_feat,lr,weight_decay,weighted_sampler,student_lstm_layers,student_lstm_dropout,student_classifier_hidden,student_classifier_dropout,run_dir,status,elapsed_sec,val_macro_f1,test_acc,test_macro_f1,test_teacher_agreement,best_epoch,best_score,target_reached
stage1,s1_l1_o1_c0,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l1_o1_c0,2.0,0.9,1.1,0.0,0.00015,1e-05,True,1,0.2,64,0.3,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l1_o1_c0/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs128_T2.0_lce0.9_lkd1.1_lf0.0_seed14,success,4.12,0.951356,0.8454999999999999,0.826038,0.9101,20,0.951356,False
stage1,s1_l1_o1_c1,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l1_o1_c1,2.0,0.9,1.1,0.0,0.00015,1e-05,True,2,0.3,64,0.35,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l1_o1_c1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs128_T2.0_lce0.9_lkd1.1_lf0.0_seed14,success,4.46,0.967262,0.8511,0.794013,0.9438,19,0.967262,False
stage1,s1_l1_o2_c0,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l1_o2_c0,2.0,0.9,1.1,0.0,0.0002,0.0001,True,1,0.2,64,0.3,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l1_o2_c0/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0002_bs128_T2.0_lce0.9_lkd1.1_lf0.0_seed14,success,10.03,0.969728,0.8848,0.839799,0.9551000000000001,40,0.969728,False
stage1,s1_l1_o2_c1,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l1_o2_c1,2.0,0.9,1.1,0.0,0.0002,0.0001,True,2,0.3,64,0.35,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l1_o2_c1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0002_bs128_T2.0_lce0.9_lkd1.1_lf0.0_seed14,success,9.66,0.980663,0.8736,0.820405,0.9606999999999999,32,0.980663,False
stage1,s1_l1_o3_c0,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l1_o3_c0,2.0,0.9,1.1,0.0,0.0003,0.0002,False,1,0.2,64,0.3,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l1_o3_c0/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs128_T2.0_lce0.9_lkd1.1_lf0.0_seed14,success,8.15,0.986227,0.8652,0.809387,0.9521999999999999,23,0.986227,False
stage1,s1_l1_o3_c1,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l1_o3_c1,2.0,0.9,1.1,0.0,0.0003,0.0002,False,2,0.3,64,0.35,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l1_o3_c1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs128_T2.0_lce0.9_lkd1.1_lf0.0_seed14,success,7.93,0.986227,0.8764,0.825175,0.9634999999999999,21,0.986227,False
stage1,s1_l2_o0_c0,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l2_o0_c0,2.5,0.9,1.1,0.0,0.0001,1e-05,True,1,0.2,64,0.3,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l2_o0_c0/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs128_T2.5_lce0.9_lkd1.1_lf0.0_seed14,success,9.29,0.951356,0.8511,0.831152,0.9101,33,0.951356,False
stage1,s1_l2_o0_c1,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l2_o0_c1,2.5,0.9,1.1,0.0,0.0001,1e-05,True,2,0.3,64,0.35,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l2_o0_c1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0001_bs128_T2.5_lce0.9_lkd1.1_lf0.0_seed14,success,7.95,0.96689,0.8173999999999999,0.762524,0.9045000000000001,20,0.96689,False
stage1,s1_l2_o1_c0,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l2_o1_c0,2.5,0.9,1.1,0.0,0.00015,1e-05,True,1,0.2,64,0.3,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l2_o1_c0/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs128_T2.5_lce0.9_lkd1.1_lf0.0_seed14,success,7.56,0.951356,0.8399,0.820925,0.9101,20,0.951356,False
stage1,s1_l2_o1_c1,,14,80,128,val_macro_f1,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l2_o1_c1,2.5,0.9,1.1,0.0,0.00015,1e-05,True,2,0.3,64,0.35,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/stage1/s1_l2_o1_c1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00015_bs128_T2.5_lce0.9_lkd1.1_lf0.0_seed14,success,7.77,0.967262,0.8567,0.801941,0.9494,19,0.967262,False
