stage,stage_index,status,run_name,run_dir,elapsed_sec,test_acc,test_macro_f1,best_epoch,best_score,epochs,seed,lr,weight_decay,batch_size,classifier_hidden,classifier_dropout,command,inception_out_ch,inception_blocks,inception_bottleneck,inception_dropout
B,1,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc16_blk9_bn16_do0.3_ep80_lr0.0002_wd1e-05_bs128_seed122,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc16_blk9_bn16_do0.3_ep80_lr0.0002_wd1e-05_bs128_seed122,12.94,0.8792,0.816409,34,1.0,80,122,0.0002,1e-05,128,64,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 128 --lr 0.0002 --weight-decay 1e-05 --seed 122 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.2 --inception-out-ch 16 --inception-blocks 9 --inception-bottleneck 16 --inception-dropout 0.3,16,9,16,0.3
seed_eval,6,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc16_blk3_bn16_do0.1_ep80_lr0.0001_wd0.0001_bs128_seed183,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc16_blk3_bn16_do0.1_ep80_lr0.0001_wd0.0001_bs128_seed183,10.92,0.8736,0.825416,44,0.994277,80,183,0.0001,0.0001,128,64,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 128 --lr 0.0001 --weight-decay 0.0001 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.2 --inception-out-ch 16 --inception-blocks 3 --inception-bottleneck 16 --inception-dropout 0.1,16,3,16,0.1
A,2,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc16_blk3_bn16_do0.1_ep80_lr0.0001_wd0.0001_bs128_seed77,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc16_blk3_bn16_do0.1_ep80_lr0.0001_wd0.0001_bs128_seed77,8.79,0.8736,0.823815,29,1.0,80,77,0.0001,0.0001,128,64,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 128 --lr 0.0001 --weight-decay 0.0001 --seed 77 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.2 --inception-out-ch 16 --inception-blocks 3 --inception-bottleneck 16 --inception-dropout 0.1,16,3,16,0.1
A,14,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc16_blk9_bn32_do0.3_ep80_lr0.0001_wd0.0002_bs128_seed100,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc16_blk9_bn32_do0.3_ep80_lr0.0001_wd0.0002_bs128_seed100,8.33,0.8708,0.83325,12,0.959326,80,100,0.0001,0.0002,128,128,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 128 --lr 0.0001 --weight-decay 0.0002 --seed 100 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.35 --inception-out-ch 16 --inception-blocks 9 --inception-bottleneck 32 --inception-dropout 0.3,16,9,32,0.3
A,11,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc32_blk6_bn32_do0.2_ep80_lr0.0005_wd0.0001_bs64_seed183,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc32_blk6_bn32_do0.2_ep80_lr0.0005_wd0.0001_bs64_seed183,9.35,0.8539,0.813502,5,1.0,80,183,0.0005,0.0001,64,64,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 64 --lr 0.0005 --weight-decay 0.0001 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.35 --inception-out-ch 32 --inception-blocks 6 --inception-bottleneck 32 --inception-dropout 0.2,32,6,32,0.2
B,3,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc16_blk3_bn16_do0.1_ep80_lr0.0003_wd0.0002_bs64_seed183,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc16_blk3_bn16_do0.1_ep80_lr0.0003_wd0.0002_bs64_seed183,9.5,0.8427,0.793155,10,1.0,80,183,0.0003,0.0002,64,128,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 64 --lr 0.0003 --weight-decay 0.0002 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.2 --inception-out-ch 16 --inception-blocks 3 --inception-bottleneck 16 --inception-dropout 0.1,16,3,16,0.1
A,12,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk9_bn32_do0.3_ep80_lr0.0001_wd0.0002_bs64_seed122,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk9_bn32_do0.3_ep80_lr0.0001_wd0.0002_bs64_seed122,25.19,0.8427,0.780339,47,1.0,80,122,0.0001,0.0002,64,64,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 64 --lr 0.0001 --weight-decay 0.0002 --seed 122 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.2 --inception-out-ch 24 --inception-blocks 9 --inception-bottleneck 32 --inception-dropout 0.3,24,9,32,0.3
A,16,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk3_bn32_do0.3_ep80_lr0.0001_wd0.0001_bs128_seed42,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk3_bn32_do0.3_ep80_lr0.0001_wd0.0001_bs128_seed42,11.59,0.8399,0.776273,57,0.983041,80,42,0.0001,0.0001,128,128,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 128 --lr 0.0001 --weight-decay 0.0001 --seed 42 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.5 --inception-out-ch 24 --inception-blocks 3 --inception-bottleneck 32 --inception-dropout 0.3,24,3,32,0.3
A,1,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk3_bn16_do0.2_ep80_lr0.0001_wd0.0002_bs128_seed122,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk3_bn16_do0.2_ep80_lr0.0001_wd0.0002_bs128_seed122,11.93,0.8343,0.770287,52,0.991859,80,122,0.0001,0.0002,128,64,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 128 --lr 0.0001 --weight-decay 0.0002 --seed 122 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.35 --inception-out-ch 24 --inception-blocks 3 --inception-bottleneck 16 --inception-dropout 0.2,24,3,16,0.2
A,13,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc16_blk3_bn16_do0.1_ep80_lr0.0005_wd0.0002_bs128_seed42,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc16_blk3_bn16_do0.1_ep80_lr0.0005_wd0.0002_bs128_seed42,7.62,0.8287,0.764001,17,1.0,80,42,0.0005,0.0002,128,128,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 128 --lr 0.0005 --weight-decay 0.0002 --seed 42 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.5 --inception-out-ch 16 --inception-blocks 3 --inception-bottleneck 16 --inception-dropout 0.1,16,3,16,0.1
