model_name,method_name,n_test,latent_dim,feature_layer,silhouette_score,davies_bouldin_index,calinski_harabasz_score,mean_intra_class_distance,mean_inter_class_centroid_distance,inter_intra_distance_ratio
Teacher,teacher(18D upper bound),356,128,attention_tcn.z,0.3162963505800079,1.475188884816994,164.15572905461826,7.956907067658582,13.960292310412072,1.7544872890566585
Student,teacher-student(student),356,128,attention_tcn.z,0.4049242249797612,1.2491162753285043,212.46971891233116,7.281003011771576,14.929345792741971,2.0504518084397056
GRU,gru,356,128,gru.pooled_hidden,0.6315820193865184,0.5684125545163383,1113.733671716373,3.5334905066856446,18.311366511627032,5.182231698933526
LSTM,lstm,356,64,lstm.classifier_fc1_relu,0.6848728401758616,0.4698052583639856,886.7885492835004,2.2452199168994578,12.759749502025182,5.683073362205779
Inception,inception,356,192,inception.pooled_z,0.2589737559012455,1.504794125579239,127.37538294803348,9.955370027063625,15.964190973856267,1.6035758520735737
Transformer,transformer,356,128,transformer.pooled_encoder,0.5964282903541158,0.6242544935214881,670.9603148683957,4.4379029828332435,18.67366939089752,4.207768728413231
