panel,method,class_name,metric,value_pct
A,Teacher,,accuracy,98.31
B,Teacher,,macro_f1,97.9252
A,Student,,accuracy,98.03
B,Student,,macro_f1,97.3757
A,GRU,,accuracy,91.57
B,GRU,,macro_f1,88.7156
A,LSTM,,accuracy,90.73
B,LSTM,,macro_f1,87.53410000000001
A,Inception,,accuracy,90.16999999999999
B,Inception,,macro_f1,87.318
A,Transformer,,accuracy,88.75999999999999
B,Transformer,,macro_f1,86.2035
C,Teacher,,delta_accuracy_vs_gru,6.740000000000009
D,Teacher,,delta_macro_f1_vs_gru,9.209600000000009
C,Student,,delta_accuracy_vs_gru,6.460000000000008
D,Student,,delta_macro_f1_vs_gru,8.6601
C,LSTM,,delta_accuracy_vs_gru,-0.8399999999999892
D,LSTM,,delta_macro_f1_vs_gru,-1.1814999999999856
C,Inception,,delta_accuracy_vs_gru,-1.4000000000000057
D,Inception,,delta_macro_f1_vs_gru,-1.397599999999997
C,Transformer,,delta_accuracy_vs_gru,-2.8100000000000023
D,Transformer,,delta_macro_f1_vs_gru,-2.5120999999999896
E,Teacher,S0,f1,98.04
E,Student,S0,f1,96.69
E,GRU,S0,f1,86.13
E,LSTM,S0,f1,84.44
E,Inception,S0,f1,84.44
E,Transformer,S0,f1,93.15
F,Teacher,S1,f1,96.50999999999999
F,Student,S1,f1,95.95
F,GRU,S1,f1,82.76
F,LSTM,S1,f1,81.14
F,Inception,S1,f1,81.08
F,Transformer,S1,f1,72.6
G,Teacher,S2,f1,99.22
G,Student,S2,f1,99.48
G,GRU,S2,f1,97.26
G,LSTM,S2,f1,97.00999999999999
G,Inception,S2,f1,96.43
G,Transformer,S2,f1,92.86
H,Teacher,S0,f1,98.04
H,Teacher,S1,f1,96.50999999999999
H,Teacher,S2,f1,99.22
H,Student,S0,f1,96.69
H,Student,S1,f1,95.95
H,Student,S2,f1,99.48
H,GRU,S0,f1,86.13
H,GRU,S1,f1,82.76
H,GRU,S2,f1,97.26
H,LSTM,S0,f1,84.44
H,LSTM,S1,f1,81.14
H,LSTM,S2,f1,97.00999999999999
H,Inception,S0,f1,84.44
H,Inception,S1,f1,81.08
H,Inception,S2,f1,96.43
H,Transformer,S0,f1,93.15
H,Transformer,S1,f1,72.6
H,Transformer,S2,f1,92.86
I,GRU,,accuracy,91.57
J,GRU,,macro_f1,88.7156
K,GRU,S0,f1,86.13
K,GRU,S1,f1,82.76
K,GRU,S2,f1,97.26
I,LSTM,,accuracy,90.73
J,LSTM,,macro_f1,87.53410000000001
K,LSTM,S0,f1,84.44
K,LSTM,S1,f1,81.14
K,LSTM,S2,f1,97.00999999999999
I,Inception,,accuracy,90.16999999999999
J,Inception,,macro_f1,87.318
K,Inception,S0,f1,84.44
K,Inception,S1,f1,81.08
K,Inception,S2,f1,96.43
I,Transformer,,accuracy,88.75999999999999
J,Transformer,,macro_f1,86.2035
K,Transformer,S0,f1,93.15
K,Transformer,S1,f1,72.6
K,Transformer,S2,f1,92.86
L,Teacher,S0,delta_f1_vs_gru,11.910000000000009
L,Teacher,S1,delta_f1_vs_gru,13.749999999999996
L,Teacher,S2,delta_f1_vs_gru,1.959999999999995
L,Student,S0,delta_f1_vs_gru,10.560000000000002
L,Student,S1,delta_f1_vs_gru,13.190000000000001
L,Student,S2,delta_f1_vs_gru,2.2199999999999998
M,Teacher,S0,precision,100.0
M,Teacher,S0,recall,96.15
M,Student,S0,precision,100.0
M,Student,S0,recall,93.58999999999999
M,GRU,S0,precision,100.0
M,GRU,S0,recall,75.64
M,LSTM,S0,precision,100.0
M,LSTM,S0,recall,73.08
M,Inception,S0,precision,100.0
M,Inception,S0,recall,73.08
M,Transformer,S0,precision,100.0
M,Transformer,S0,recall,87.18
N,Teacher,S1,precision,93.26
N,Teacher,S1,recall,100.0
N,Student,S1,precision,92.22
N,Student,S1,recall,100.0
N,GRU,S1,precision,79.12
N,GRU,S1,recall,86.75
N,LSTM,S1,precision,77.17
N,LSTM,S1,recall,85.54
N,Inception,S1,precision,73.53
N,Inception,S1,recall,90.36
N,Transformer,S1,precision,84.13000000000001
N,Transformer,S1,recall,63.85999999999999
O,Teacher,S2,precision,100.0
O,Teacher,S2,recall,98.46000000000001
O,Student,S2,precision,100.0
O,Student,S2,recall,98.97
O,GRU,S2,precision,94.66
O,GRU,S2,recall,100.0
O,LSTM,S2,precision,94.19999999999999
O,LSTM,S2,recall,100.0
O,Inception,S2,precision,95.94
O,Inception,S2,recall,96.92
O,Transformer,S2,precision,86.67
O,Transformer,S2,recall,100.0
P,Teacher,,transition_penalty,-2.695000000000003
P,Student,,transition_penalty,-3.720000000000001
P,GRU,,transition_penalty,1.0699999999999932
P,LSTM,,transition_penalty,0.9999999999999898
P,Inception,,transition_penalty,-5.359999999999998
P,Transformer,,transition_penalty,29.73
