trial_id,stage,status,run_dir,elapsed_sec,reached_target,best_epoch,best_score,val_macro_f1,test_acc,test_macro_f1,seed,lr,weight_decay,tcn_dropout,classifier_dropout,batch_size,tcn_layers,tcn_channels,attn_dropout,label_smoothing,weighted_sampler,epochs,checkpoint_metric,command
11,A,success,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/results/ablation1_sweep/trials/trial_0011_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0001_bs64_seed106,16.13,False,7,1.0,1.0,0.8070999999999999,0.747914,106,0.0001,0.0002,0.15,0.3,64,3,"64,64,64",0.05,0.05,False,80,val_macro_f1,"/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_ablation1_student_only.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0.npz --output-dir /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/results/ablation1_sweep/trials/trial_0011_A --drop-feature-indices 3,4,5,6,7 --epochs 80 --batch-size 64 --lr 0.0001 --weight-decay 0.0002 --label-smoothing 0.05 --seed 106 --num-workers 0 --tcn-kernel 3 --tcn-layers 3 --tcn-channels 64,64,64 --tcn-dropout 0.15 --tcn-dilation-base 2 --classifier-hidden 128 --classifier-dropout 0.3 --attn-heads 4 --attn-dropout 0.05 --attn-ff-dim 128 --checkpoint-metric val_macro_f1"
12,A,success,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/results/ablation1_sweep/trials/trial_0012_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0001_bs96_seed114,12.27,False,11,1.0,1.0,0.8016,0.731114,114,0.0001,0.0002,0.1,0.25,96,2,"96,96,96",0.1,0.05,True,80,val_macro_f1,"/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_ablation1_student_only.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0.npz --output-dir /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/results/ablation1_sweep/trials/trial_0012_A --drop-feature-indices 3,4,5,6,7 --epochs 80 --batch-size 96 --lr 0.0001 --weight-decay 0.0002 --label-smoothing 0.05 --seed 114 --num-workers 0 --tcn-kernel 3 --tcn-layers 2 --tcn-channels 96,96,96 --tcn-dropout 0.1 --tcn-dilation-base 2 --classifier-hidden 128 --classifier-dropout 0.25 --attn-heads 4 --attn-dropout 0.1 --attn-ff-dim 128 --checkpoint-metric val_macro_f1 --weighted-sampler"
13,A,success,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/results/ablation1_sweep/trials/trial_0013_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.00015_bs128_seed131,10.21,False,12,1.0,1.0,0.8125,0.75439,131,0.00015,0.0001,0.15,0.25,128,2,"80,80,80",0.05,0.0,False,80,val_macro_f1,"/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_ablation1_student_only.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0.npz --output-dir /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/results/ablation1_sweep/trials/trial_0013_A --drop-feature-indices 3,4,5,6,7 --epochs 80 --batch-size 128 --lr 0.00015 --weight-decay 0.0001 --label-smoothing 0.0 --seed 131 --num-workers 0 --tcn-kernel 3 --tcn-layers 2 --tcn-channels 80,80,80 --tcn-dropout 0.15 --tcn-dilation-base 2 --classifier-hidden 128 --classifier-dropout 0.25 --attn-heads 4 --attn-dropout 0.05 --attn-ff-dim 128 --checkpoint-metric val_macro_f1"
14,A,success,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/results/ablation1_sweep/trials/trial_0014_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0004_bs64_seed144,16.54,False,3,1.0,1.0,0.8261,0.77195,144,0.0004,0.0002,0.12,0.25,64,4,"64,64,64",0.1,0.05,True,80,val_macro_f1,"/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_ablation1_student_only.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0.npz --output-dir /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/results/ablation1_sweep/trials/trial_0014_A --drop-feature-indices 3,4,5,6,7 --epochs 80 --batch-size 64 --lr 0.0004 --weight-decay 0.0002 --label-smoothing 0.05 --seed 144 --num-workers 0 --tcn-kernel 3 --tcn-layers 4 --tcn-channels 64,64,64 --tcn-dropout 0.12 --tcn-dilation-base 2 --classifier-hidden 128 --classifier-dropout 0.25 --attn-heads 4 --attn-dropout 0.1 --attn-ff-dim 128 --checkpoint-metric val_macro_f1 --weighted-sampler"
15,A,success,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/results/ablation1_sweep/trials/trial_0015_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.00015_bs64_seed109,13.15,False,6,1.0,1.0,0.7908,0.71785,109,0.00015,0.0001,0.08,0.25,64,2,"80,80,80",0.1,0.05,False,80,val_macro_f1,"/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_ablation1_student_only.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0.npz --output-dir /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/results/ablation1_sweep/trials/trial_0015_A --drop-feature-indices 3,4,5,6,7 --epochs 80 --batch-size 64 --lr 0.00015 --weight-decay 0.0001 --label-smoothing 0.05 --seed 109 --num-workers 0 --tcn-kernel 3 --tcn-layers 2 --tcn-channels 80,80,80 --tcn-dropout 0.08 --tcn-dilation-base 2 --classifier-hidden 128 --classifier-dropout 0.25 --attn-heads 4 --attn-dropout 0.1 --attn-ff-dim 128 --checkpoint-metric val_macro_f1"
16,A,success,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/results/ablation1_sweep/trials/trial_0016_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0004_bs128_seed120,9.05,False,8,1.0,1.0,0.8668,0.834414,120,0.0004,0.0002,0.1,0.35,128,2,"80,80,80",0.15,0.05,True,80,val_macro_f1,"/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_ablation1_student_only.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0.npz --output-dir /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/results/ablation1_sweep/trials/trial_0016_A --drop-feature-indices 3,4,5,6,7 --epochs 80 --batch-size 128 --lr 0.0004 --weight-decay 0.0002 --label-smoothing 0.05 --seed 120 --num-workers 0 --tcn-kernel 3 --tcn-layers 2 --tcn-channels 80,80,80 --tcn-dropout 0.1 --tcn-dilation-base 2 --classifier-hidden 128 --classifier-dropout 0.35 --attn-heads 4 --attn-dropout 0.15 --attn-ff-dim 128 --checkpoint-metric val_macro_f1 --weighted-sampler"
17,A,success,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/results/ablation1_sweep/trials/trial_0017_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.00025_bs128_seed152,8.99,False,9,1.0,1.0,0.8070999999999999,0.741254,152,0.00025,0.0003,0.08,0.45,128,2,"96,96,96",0.05,0.0,True,80,val_macro_f1,"/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_ablation1_student_only.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0.npz --output-dir /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/results/ablation1_sweep/trials/trial_0017_A --drop-feature-indices 3,4,5,6,7 --epochs 80 --batch-size 128 --lr 0.00025 --weight-decay 0.0003 --label-smoothing 0.0 --seed 152 --num-workers 0 --tcn-kernel 3 --tcn-layers 2 --tcn-channels 96,96,96 --tcn-dropout 0.08 --tcn-dilation-base 2 --classifier-hidden 128 --classifier-dropout 0.45 --attn-heads 4 --attn-dropout 0.05 --attn-ff-dim 128 --checkpoint-metric val_macro_f1 --weighted-sampler"
18,A,success,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/results/ablation1_sweep/trials/trial_0018_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.00015_bs64_seed117,13.89,False,9,1.0,1.0,0.8261,0.782318,117,0.00015,0.0001,0.12,0.45,64,2,"80,80,80",0.15,0.05,True,80,val_macro_f1,"/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_ablation1_student_only.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0.npz --output-dir /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/results/ablation1_sweep/trials/trial_0018_A --drop-feature-indices 3,4,5,6,7 --epochs 80 --batch-size 64 --lr 0.00015 --weight-decay 0.0001 --label-smoothing 0.05 --seed 117 --num-workers 0 --tcn-kernel 3 --tcn-layers 2 --tcn-channels 80,80,80 --tcn-dropout 0.12 --tcn-dilation-base 2 --classifier-hidden 128 --classifier-dropout 0.45 --attn-heads 4 --attn-dropout 0.15 --attn-ff-dim 128 --checkpoint-metric val_macro_f1 --weighted-sampler"
19,A,success,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/results/ablation1_sweep/trials/trial_0019_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.0001_bs64_seed137,18.98,False,12,1.0,1.0,0.8016,0.736213,137,0.0001,0.0003,0.12,0.25,64,3,"80,80,80",0.1,0.0,True,80,val_macro_f1,"/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_ablation1_student_only.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0.npz --output-dir /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/results/ablation1_sweep/trials/trial_0019_A --drop-feature-indices 3,4,5,6,7 --epochs 80 --batch-size 64 --lr 0.0001 --weight-decay 0.0003 --label-smoothing 0.0 --seed 137 --num-workers 0 --tcn-kernel 3 --tcn-layers 3 --tcn-channels 80,80,80 --tcn-dropout 0.12 --tcn-dilation-base 2 --classifier-hidden 128 --classifier-dropout 0.25 --attn-heads 4 --attn-dropout 0.1 --attn-ff-dim 128 --checkpoint-metric val_macro_f1 --weighted-sampler"
20,A,success,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/results/ablation1_sweep/trials/trial_0020_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_ep80_lr0.00025_bs96_seed155,11.84,False,5,0.994386,0.994386,0.8234,0.747794,155,0.00025,0.0001,0.08,0.35,96,3,"80,80,80",0.1,0.05,True,80,val_macro_f1,"/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_ablation1_student_only.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0.npz --output-dir /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/results/ablation1_sweep/trials/trial_0020_A --drop-feature-indices 3,4,5,6,7 --epochs 80 --batch-size 96 --lr 0.00025 --weight-decay 0.0001 --label-smoothing 0.05 --seed 155 --num-workers 0 --tcn-kernel 3 --tcn-layers 3 --tcn-channels 80,80,80 --tcn-dropout 0.08 --tcn-dilation-base 2 --classifier-hidden 128 --classifier-dropout 0.35 --attn-heads 4 --attn-dropout 0.1 --attn-ff-dim 128 --checkpoint-metric val_macro_f1 --weighted-sampler"
