stage,stage_index,status,run_name,run_dir,elapsed_sec,test_acc,test_macro_f1,best_epoch,best_score,epochs,seed,lr,weight_decay,batch_size,classifier_hidden,classifier_dropout,command,rnn_hidden_size,rnn_layers,rnn_dropout,rnn_bidirectional
A,19,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h128_l1_bi_do0.1_ep80_lr0.0003_wd1e-05_bs128_seed183,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h128_l1_bi_do0.1_ep80_lr0.0003_wd1e-05_bs128_seed183,4.68,0.809,0.740031,36,1.0,80,183,0.0003,1e-05,128,128,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 128 --lr 0.0003 --weight-decay 1e-05 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.35 --rnn-hidden-size 128 --rnn-layers 1 --rnn-dropout 0.1 --rnn-bidirectional,128,1,0.1,True
A,20,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l3_uni_do0.1_ep80_lr0.0003_wd1e-05_bs64_seed14,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l3_uni_do0.1_ep80_lr0.0003_wd1e-05_bs64_seed14,5.08,0.8736,0.84013,19,0.994277,80,14,0.0003,1e-05,64,64,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 64 --lr 0.0003 --weight-decay 1e-05 --seed 14 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.35 --rnn-hidden-size 64 --rnn-layers 3 --rnn-dropout 0.1 --no-rnn-bidirectional,64,3,0.1,False
A,21,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h128_l3_bi_do0.2_ep80_lr0.0003_wd0.0001_bs64_seed42,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h128_l3_bi_do0.2_ep80_lr0.0003_wd0.0001_bs64_seed42,4.19,0.7837000000000001,0.709748,11,1.0,80,42,0.0003,0.0001,64,128,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 64 --lr 0.0003 --weight-decay 0.0001 --seed 42 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.5 --rnn-hidden-size 128 --rnn-layers 3 --rnn-dropout 0.2 --rnn-bidirectional,128,3,0.2,True
A,22,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h96_l3_uni_do0.3_ep80_lr0.0005_wd0.0001_bs128_seed77,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h96_l3_uni_do0.3_ep80_lr0.0005_wd0.0001_bs128_seed77,4.04,0.8034,0.730245,19,1.0,80,77,0.0005,0.0001,128,128,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 128 --lr 0.0005 --weight-decay 0.0001 --seed 77 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.5 --rnn-hidden-size 96 --rnn-layers 3 --rnn-dropout 0.3 --no-rnn-bidirectional,96,3,0.3,False
A,23,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l3_bi_do0.2_ep80_lr0.0005_wd0.0001_bs128_seed77,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l3_bi_do0.2_ep80_lr0.0005_wd0.0001_bs128_seed77,4.17,0.8006,0.721394,12,1.0,80,77,0.0005,0.0001,128,128,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 128 --lr 0.0005 --weight-decay 0.0001 --seed 77 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.2 --rnn-hidden-size 64 --rnn-layers 3 --rnn-dropout 0.2 --rnn-bidirectional,64,3,0.2,True
A,24,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h128_l2_bi_do0.1_ep80_lr0.0002_wd0.0002_bs64_seed183,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h128_l2_bi_do0.1_ep80_lr0.0002_wd0.0002_bs64_seed183,5.42,0.8006,0.733976,17,1.0,80,183,0.0002,0.0002,64,64,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 64 --lr 0.0002 --weight-decay 0.0002 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.2 --rnn-hidden-size 128 --rnn-layers 2 --rnn-dropout 0.1 --rnn-bidirectional,128,2,0.1,True
B,1,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h96_l2_bi_do0.3_ep80_lr0.0001_wd0.0002_bs128_seed183,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h96_l2_bi_do0.3_ep80_lr0.0001_wd0.0002_bs128_seed183,4.26,0.8933,0.853013,26,0.976959,80,183,0.0001,0.0002,128,64,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 128 --lr 0.0001 --weight-decay 0.0002 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.35 --rnn-hidden-size 96 --rnn-layers 2 --rnn-dropout 0.3 --rnn-bidirectional,96,2,0.3,True
B,2,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h128_l2_uni_do0.3_ep80_lr0.0005_wd0.0001_bs64_seed100,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h128_l2_uni_do0.3_ep80_lr0.0005_wd0.0001_bs64_seed100,4.27,0.8511,0.806592,10,1.0,80,100,0.0005,0.0001,64,64,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 64 --lr 0.0005 --weight-decay 0.0001 --seed 100 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.35 --rnn-hidden-size 128 --rnn-layers 2 --rnn-dropout 0.3 --no-rnn-bidirectional,128,2,0.3,False
B,3,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l1_bi_do0.1_ep80_lr0.0003_wd1e-05_bs64_seed183,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l1_bi_do0.1_ep80_lr0.0003_wd1e-05_bs64_seed183,4.26,0.8062,0.732043,14,1.0,80,183,0.0003,1e-05,64,128,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 64 --lr 0.0003 --weight-decay 1e-05 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.2 --rnn-hidden-size 64 --rnn-layers 1 --rnn-dropout 0.1 --rnn-bidirectional,64,1,0.1,True
B,4,success,lstm_weld_seam_windows_ws5_tf75_pg0_h1_h128_l1_bi_do0.3_ep80_lr0.0001_wd0.0002_bs128_seed183,ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h128_l1_bi_do0.3_ep80_lr0.0001_wd0.0002_bs128_seed183,4.97,0.882,0.839235,57,0.976959,80,183,0.0001,0.0002,128,64,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/lstm --model lstm --epochs 80 --batch-size 128 --lr 0.0001 --weight-decay 0.0002 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.5 --rnn-hidden-size 128 --rnn-layers 1 --rnn-dropout 0.3 --rnn-bidirectional,128,1,0.3,True
