stage,stage_index,status,run_name,run_dir,elapsed_sec,test_acc,test_macro_f1,best_epoch,best_score,epochs,seed,lr,weight_decay,batch_size,classifier_hidden,classifier_dropout,command,inception_out_ch,inception_blocks,inception_bottleneck,inception_dropout
A,24,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk3_bn32_do0.3_ep80_lr0.0003_wd0.0002_bs64_seed100,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk3_bn32_do0.3_ep80_lr0.0003_wd0.0002_bs64_seed100,5.8,0.7837000000000001,0.712187,16,1.0,80,100,0.0003,0.0002,64,128,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 64 --lr 0.0003 --weight-decay 0.0002 --seed 100 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.35 --inception-out-ch 24 --inception-blocks 3 --inception-bottleneck 32 --inception-dropout 0.3,24,3,32,0.3
A,25,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc32_blk9_bn32_do0.3_ep80_lr0.0001_wd0.0001_bs128_seed77,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc32_blk9_bn32_do0.3_ep80_lr0.0001_wd0.0001_bs128_seed77,7.83,0.7920999999999999,0.721665,27,1.0,80,77,0.0001,0.0001,128,128,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 128 --lr 0.0001 --weight-decay 0.0001 --seed 77 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.5 --inception-out-ch 32 --inception-blocks 9 --inception-bottleneck 32 --inception-dropout 0.3,32,9,32,0.3
A,26,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk3_bn16_do0.3_ep80_lr0.0001_wd0.0001_bs128_seed14,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk3_bn16_do0.3_ep80_lr0.0001_wd0.0001_bs128_seed14,7.06,0.7893000000000001,0.682281,63,0.980663,80,14,0.0001,0.0001,128,64,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 128 --lr 0.0001 --weight-decay 0.0001 --seed 14 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.2 --inception-out-ch 24 --inception-blocks 3 --inception-bottleneck 16 --inception-dropout 0.3,24,3,16,0.3
A,27,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk6_bn16_do0.2_ep80_lr0.0002_wd0.0002_bs128_seed122,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk6_bn16_do0.2_ep80_lr0.0002_wd0.0002_bs128_seed122,5.92,0.823,0.738991,15,1.0,80,122,0.0002,0.0002,128,128,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 128 --lr 0.0002 --weight-decay 0.0002 --seed 122 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.35 --inception-out-ch 24 --inception-blocks 6 --inception-bottleneck 16 --inception-dropout 0.2,24,6,16,0.2
A,28,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk3_bn16_do0.2_ep80_lr0.0005_wd0.0001_bs64_seed42,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk3_bn16_do0.2_ep80_lr0.0005_wd0.0001_bs64_seed42,5.54,0.764,0.662192,12,1.0,80,42,0.0005,0.0001,64,64,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 64 --lr 0.0005 --weight-decay 0.0001 --seed 42 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.35 --inception-out-ch 24 --inception-blocks 3 --inception-bottleneck 16 --inception-dropout 0.2,24,3,16,0.2
A,29,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc16_blk3_bn16_do0.3_ep80_lr0.0005_wd1e-05_bs128_seed77,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc16_blk3_bn16_do0.3_ep80_lr0.0005_wd1e-05_bs128_seed77,4.58,0.8511,0.792336,15,1.0,80,77,0.0005,1e-05,128,128,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 128 --lr 0.0005 --weight-decay 1e-05 --seed 77 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.5 --inception-out-ch 16 --inception-blocks 3 --inception-bottleneck 16 --inception-dropout 0.3,16,3,16,0.3
A,30,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc32_blk3_bn16_do0.1_ep80_lr0.0005_wd0.0005_bs128_seed100,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc32_blk3_bn16_do0.1_ep80_lr0.0005_wd0.0005_bs128_seed100,4.57,0.8146,0.75073,13,1.0,80,100,0.0005,0.0005,128,128,0.35,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 128 --lr 0.0005 --weight-decay 0.0005 --seed 100 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.35 --inception-out-ch 32 --inception-blocks 3 --inception-bottleneck 16 --inception-dropout 0.1,32,3,16,0.1
A,31,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc16_blk3_bn32_do0.1_ep80_lr0.0001_wd0.0005_bs128_seed122,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc16_blk3_bn32_do0.1_ep80_lr0.0001_wd0.0005_bs128_seed122,5.31,0.868,0.820666,30,0.994277,80,122,0.0001,0.0005,128,128,0.2,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 128 --lr 0.0001 --weight-decay 0.0005 --seed 122 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.2 --inception-out-ch 16 --inception-blocks 3 --inception-bottleneck 32 --inception-dropout 0.1,16,3,32,0.1
A,32,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk9_bn32_do0.2_ep80_lr0.0001_wd0.0001_bs128_seed77,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc24_blk9_bn32_do0.2_ep80_lr0.0001_wd0.0001_bs128_seed77,8.14,0.868,0.826526,38,1.0,80,77,0.0001,0.0001,128,128,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 128 --lr 0.0001 --weight-decay 0.0001 --seed 77 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 128 --classifier-dropout 0.5 --inception-out-ch 24 --inception-blocks 9 --inception-bottleneck 32 --inception-dropout 0.2,24,9,32,0.2
A,33,success,inception_weld_seam_windows_ws5_tf75_pg0_h1_oc32_blk3_bn32_do0.1_ep80_lr0.0002_wd0.0005_bs128_seed183,ablation_experiments/h1/results/comparison_18d_baselines/inception/inception_weld_seam_windows_ws5_tf75_pg0_h1_oc32_blk3_bn32_do0.1_ep80_lr0.0002_wd0.0005_bs128_seed183,4.58,0.8399,0.784072,16,1.0,80,183,0.0002,0.0005,128,64,0.5,/usr/bin/python /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/scripts/train_comparison_18d_baseline.py --dataset-npz /home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz --output-dir ablation_experiments/h1/results/comparison_18d_baselines/inception --model inception --epochs 80 --batch-size 128 --lr 0.0002 --weight-decay 0.0005 --seed 183 --val-ratio 0.15 --checkpoint-metric val_macro_f1 --class-weights auto --weighted-sampler --min-epochs 16 --early-stop-patience 16 --classifier-hidden 64 --classifier-dropout 0.5 --inception-out-ch 32 --inception-blocks 3 --inception-bottleneck 32 --inception-dropout 0.1,32,3,32,0.1
