model_name,method_slug,n_samples,accuracy,macro_f1,source_accuracy,source_macro_f1,accuracy_abs_delta_pct_points,macro_f1_abs_delta_pct_points
Teacher,teacher,356,0.9831460674157303,0.9792521659826722,0.9831,0.979252,0.0046067415730322026,1.6598267216227924e-05
Student-only,student_only,356,0.8932584269662921,0.863876648965855,0.8933,0.863877,0.004157303370788679,3.510341449741716e-05
SEAL-Weld Student,seal_weld_student,356,0.9803370786516854,0.9737567834325401,0.9803000000000001,0.973757,0.0037078651685340525,2.165674598542111e-05
