model_name,method_slug,sample_index,seam_name,boundary_type,boundary_distance_bin,start_idx,target_idx,input_step,relative_step,relative_time_s,attention_weight,y_true,y_pred,correct
Teacher,teacher,215,c01,0->1,Near,25,30,2,-3,-0.03,0.20682093501091003,0,0,True
Teacher,teacher,215,c01,0->1,Near,25,30,3,-2,-0.02,0.21021637320518494,0,0,True
Teacher,teacher,215,c01,0->1,Near,25,30,4,-1,-0.01,0.1943795531988144,0,0,True
Teacher,teacher,346,a01,0->1,Near,100,105,0,-5,-0.05,0.2115660160779953,0,0,True
Teacher,teacher,346,a01,0->1,Near,100,105,1,-4,-0.04,0.20352034270763397,0,0,True
Teacher,teacher,346,a01,0->1,Near,100,105,2,-3,-0.03,0.19570565223693848,0,0,True
Teacher,teacher,346,a01,0->1,Near,100,105,3,-2,-0.02,0.1974734365940094,0,0,True
Teacher,teacher,346,a01,0->1,Near,100,105,4,-1,-0.01,0.19173453748226166,0,0,True
Teacher,teacher,17,a01,0->1,Near,99,104,0,-5,-0.05,0.21160021424293518,0,0,True
Teacher,teacher,17,a01,0->1,Near,99,104,1,-4,-0.04,0.19726669788360596,0,0,True
Teacher,teacher,17,a01,0->1,Near,99,104,2,-3,-0.03,0.2053784877061844,0,0,True
Teacher,teacher,17,a01,0->1,Near,99,104,3,-2,-0.02,0.18895748257637024,0,0,True
Teacher,teacher,17,a01,0->1,Near,99,104,4,-1,-0.01,0.19679711759090424,0,0,True
Teacher,teacher,270,b01,0->1,Near,139,144,0,-5,-0.05,0.2075149565935135,0,0,True
Teacher,teacher,270,b01,0->1,Near,139,144,1,-4,-0.04,0.19519998133182526,0,0,True
Teacher,teacher,270,b01,0->1,Near,139,144,2,-3,-0.03,0.2047138512134552,0,0,True
Teacher,teacher,270,b01,0->1,Near,139,144,3,-2,-0.02,0.1993696093559265,0,0,True
Teacher,teacher,270,b01,0->1,Near,139,144,4,-1,-0.01,0.19320157170295715,0,0,True
Teacher,teacher,53,c02,1->2,Near,107,112,0,-5,-0.05,0.19355669617652893,1,1,True
Teacher,teacher,53,c02,1->2,Near,107,112,1,-4,-0.04,0.2053927332162857,1,1,True
Teacher,teacher,53,c02,1->2,Near,107,112,2,-3,-0.03,0.18530182540416718,1,1,True
Teacher,teacher,53,c02,1->2,Near,107,112,3,-2,-0.02,0.2281450480222702,1,1,True
Teacher,teacher,53,c02,1->2,Near,107,112,4,-1,-0.01,0.18760377168655396,1,1,True
Teacher,teacher,131,c01,1->2,Near,149,154,0,-5,-0.05,0.1994519829750061,1,1,True
Teacher,teacher,131,c01,1->2,Near,149,154,1,-4,-0.04,0.19846293330192566,1,1,True
Teacher,teacher,131,c01,1->2,Near,149,154,2,-3,-0.03,0.21145272254943848,1,1,True
Teacher,teacher,131,c01,1->2,Near,149,154,3,-2,-0.02,0.18752679228782654,1,1,True
Teacher,teacher,131,c01,1->2,Near,149,154,4,-1,-0.01,0.20310556888580322,1,1,True
Teacher,teacher,263,a01,1->2,Near,220,225,0,-5,-0.05,0.18877792358398438,1,1,True
Teacher,teacher,263,a01,1->2,Near,220,225,1,-4,-0.04,0.20773927867412567,1,1,True
Teacher,teacher,263,a01,1->2,Near,220,225,2,-3,-0.03,0.2029067575931549,1,1,True
Teacher,teacher,263,a01,1->2,Near,220,225,3,-2,-0.02,0.20692229270935059,1,1,True
Teacher,teacher,263,a01,1->2,Near,220,225,4,-1,-0.01,0.19365376234054565,1,1,True
Teacher,teacher,268,b01,1->2,Near,286,291,0,-5,-0.05,0.18509213626384735,1,1,True
