model_name,sample_index,x_2d,y_2d,y_true,y_pred,correct,seam_name,start_idx,target_idx,projection_method,projection_space,projection_random_state
Teacher,61,9.267012596130371,19.677814483642578,0,0,True,a01,86,91,umap,strict_raw_latent,42
Teacher,62,7.956856727600098,-1.3258322477340698,2,2,True,c02,222,227,umap,strict_raw_latent,42
Teacher,63,-8.82518196105957,-1.8680462837219238,1,1,True,a01,219,224,umap,strict_raw_latent,42
Teacher,64,8.160172462463379,-1.2760303020477295,2,2,True,c02,215,220,umap,strict_raw_latent,42
Teacher,65,9.608635902404785,18.985898971557617,0,0,True,b01,121,126,umap,strict_raw_latent,42
Teacher,66,6.3819684982299805,-7.110177040100098,2,2,True,a01,488,493,umap,strict_raw_latent,42
Teacher,67,6.062357425689697,-8.338457107543945,2,2,True,a01,527,532,umap,strict_raw_latent,42
Teacher,68,8.52264404296875,-2.2146103382110596,2,2,True,c02,212,217,umap,strict_raw_latent,42
Teacher,69,13.11242389678955,15.987875938415527,1,1,True,b01,259,264,umap,strict_raw_latent,42
Teacher,70,7.227327823638916,-2.90966534614563,2,2,True,b01,574,579,umap,strict_raw_latent,42
Teacher,71,8.472305297851562,-2.7037439346313477,2,2,True,b01,546,551,umap,strict_raw_latent,42
Teacher,72,4.943787097930908,-8.035953521728516,2,2,True,a01,547,552,umap,strict_raw_latent,42
Teacher,73,-9.000848770141602,-2.043682336807251,1,1,True,a01,202,207,umap,strict_raw_latent,42
Teacher,74,7.21012020111084,-2.249859571456909,2,2,True,b01,571,576,umap,strict_raw_latent,42
Teacher,75,4.904601097106934,-8.045241355895996,2,2,True,a01,548,553,umap,strict_raw_latent,42
Teacher,76,10.022282600402832,17.807418823242188,1,1,True,c01,124,129,umap,strict_raw_latent,42
Teacher,77,6.069971561431885,-8.334823608398438,2,2,True,a01,509,514,umap,strict_raw_latent,42
Teacher,78,-8.86499309539795,-1.907816767692566,1,1,True,a01,213,218,umap,strict_raw_latent,42
Teacher,79,13.337652206420898,16.23275375366211,1,1,True,b01,282,287,umap,strict_raw_latent,42
Teacher,80,9.315977096557617,18.820743560791016,0,0,True,b01,132,137,umap,strict_raw_latent,42
Teacher,81,9.613604545593262,18.394718170166016,0,0,True,c02,70,75,umap,strict_raw_latent,42
Teacher,82,7.360622882843018,-2.0061111450195312,2,2,True,c01,212,217,umap,strict_raw_latent,42
Teacher,83,7.8177008628845215,-1.3257020711898804,2,2,True,c02,223,228,umap,strict_raw_latent,42
Teacher,84,7.761152267456055,-1.745421051979065,2,2,True,c01,209,214,umap,strict_raw_latent,42
Teacher,85,-8.884404182434082,-1.9272373914718628,1,1,True,a01,203,208,umap,strict_raw_latent,42
Teacher,86,6.007540225982666,-8.293004989624023,2,2,True,a01,523,528,umap,strict_raw_latent,42
Teacher,87,-8.97976016998291,-2.022606372833252,1,1,True,a01,208,213,umap,strict_raw_latent,42
Teacher,88,-8.939041137695312,-1.9818682670593262,1,1,True,a01,207,212,umap,strict_raw_latent,42
Teacher,89,8.649738311767578,-2.4580276012420654,2,2,True,b01,533,538,umap,strict_raw_latent,42
Teacher,90,11.241543769836426,15.720264434814453,1,1,True,c01,125,130,umap,strict_raw_latent,42
Teacher,91,9.188209533691406,18.702396392822266,0,0,True,b01,127,132,umap,strict_raw_latent,42
Teacher,92,-9.035650253295898,-2.078511953353882,1,1,True,a01,198,203,umap,strict_raw_latent,42
Teacher,93,8.992731094360352,20.031536102294922,0,0,True,a01,91,96,umap,strict_raw_latent,42
Teacher,94,6.181715488433838,-7.478674411773682,2,2,True,a01,502,507,umap,strict_raw_latent,42
Teacher,95,8.332572937011719,-2.1743695735931396,2,1,False,c02,209,214,umap,strict_raw_latent,42
