x,y,value_pct,n_runs,macro_f1_pct
2.5,1.0,90.230025,4,90.230025
2.0,1.1,91.09344285714285,14,91.09344285714285
2.5,1.1,88.39460769230769,13,88.39460769230769
2.0,1.2,87.17452307692308,13,87.17452307692308
3.0,1.2,90.7479,16,90.7479
3.5,1.2,83.6943,1,83.6943
2.0,1.3,96.35425000000001,2,96.35425000000001
3.0,1.3,96.11880000000001,1,96.11880000000001
3.0,1.4,90.17920000000001,1,90.17920000000001
3.5,1.4,92.87998333333333,12,92.87998333333333
4.0,1.4,88.76070833333334,12,88.76070833333334
3.5,1.5,90.11745833333333,12,90.11745833333333
3.5,1.6,96.3039,1,96.3039
