x,y,value_pct,n_runs,teacher_agreement_pct
2.0,0.0,90.360625,16,90.360625
2.5,0.0,88.39461538461539,13,88.39461538461539
2.0,0.1,87.33846153846154,13,87.33846153846154
2.5,0.1,89.1125,4,89.1125
3.0,0.2,90.1835294117647,17,90.1835294117647
3.5,0.2,82.02,1,82.02
3.0,0.3,95.22,1,95.22
3.5,0.3,91.6176,25,91.6176
4.0,0.3,89.16250000000001,12,89.16250000000001
