method,epoch,ce_loss,kd_loss,latent_mse,val_macro_f1_pct,teacher_agreement_pct
Full SEAL-Weld,1,1.0755389258265495,0.17624648660421371,1.6002525836229324,54.77420355137747,65.14285714285715
Full SEAL-Weld,2,0.89688990265131,0.1137571344152093,1.4809223413467407,70.4272123124803,81.71428571428572
Full SEAL-Weld,3,0.7432102113962173,0.08348061796277761,1.374651476740837,79.78331252435518,88.0
Full SEAL-Weld,4,0.6404160186648369,0.06788983894512057,1.2801437228918076,88.33609888656423,89.14285714285714
Full SEAL-Weld,5,0.5767200216650963,0.07256765570491552,1.1683959364891052,91.61270246423393,88.0
Full SEAL-Weld,6,0.5284302607178688,0.08278553560376167,1.0573330372571945,92.40794511979146,87.42857142857143
Full SEAL-Weld,7,0.5240140669047832,0.08079208619892597,0.9527886584401131,91.46745549760111,88.0
Full SEAL-Weld,8,0.5403979644179344,0.07434391416609287,0.8577156886458397,92.52491694352159,88.0
Full SEAL-Weld,9,0.549284428358078,0.06814389303326607,0.7965031191706657,92.31133735414119,88.0
Full SEAL-Weld,10,0.5196706913411617,0.07622567191720009,0.7279031798243523,92.08454380868174,88.0
Full SEAL-Weld,11,0.504805188626051,0.07484358735382557,0.6907817125320435,92.81185454512728,87.42857142857143
Full SEAL-Weld,12,0.48770035430788994,0.07279843557626009,0.6446868553757668,93.02782909242596,87.42857142857143
Full SEAL-Weld,13,0.49801405891776085,0.07331262528896332,0.6056903675198555,93.02782909242596,87.42857142857143
Full SEAL-Weld,14,0.4897793270647526,0.07224105298519135,0.5662445276975632,93.02782909242596,87.42857142857143
Full SEAL-Weld,15,0.492536086589098,0.0663747820071876,0.5479817762970924,93.02782909242596,87.42857142857143
Full SEAL-Weld,16,0.4860091991722584,0.07030252274125814,0.5282569602131844,93.02782909242596,87.42857142857143
Full SEAL-Weld,17,0.4923963360488415,0.06793501926586032,0.5063012354075909,93.02782909242596,87.42857142857143
Full SEAL-Weld,18,0.46899956464767456,0.07385122030973434,0.4898417629301548,93.53448275862068,86.85714285714286
Full SEAL-Weld,19,0.45973725244402885,0.07705530058592558,0.4797634705901146,93.53448275862068,86.85714285714286
Full SEAL-Weld,20,0.47667141258716583,0.06854031095281243,0.46743931248784065,93.53448275862068,86.85714285714286
Student-only,1,1.051188237965107,,,69.8689868401061,
Student-only,2,0.8894287012517452,,,93.90302066772657,
Student-only,3,0.720340546220541,,,96.19236883942767,
Student-only,4,0.5780282393097878,,,97.81569367776264,
Student-only,5,0.46061442606151104,,,97.81569367776264,
Student-only,6,0.40496670082211494,,,98.37010534684953,
Student-only,7,0.3490512855350971,,,98.37010534684953,
Student-only,8,0.31823250092566013,,,98.37010534684953,
Student-only,9,0.2988091353327036,,,99.18590220898486,
Student-only,10,0.2702664118260145,,,98.86248736097066,
Student-only,11,0.26089742314070463,,,99.42766295707473,
Student-only,12,0.2651711395010352,,,100.0,
Student-only,13,0.242496807128191,,,100.0,
Student-only,14,0.24306095484644175,,,100.0,
Student-only,15,0.2445071144029498,,,99.42766295707473,
Student-only,16,0.23199443239718676,,,100.0,
Student-only,17,0.25602529011666775,,,100.0,
Student-only,18,0.23804019391536713,,,100.0,
Student-only,19,0.24744421802461147,,,100.0,
Student-only,20,0.2388395145535469,,,100.0,
Joint teacher-student,1,1.0847506374120712,0.28245818614959717,1.4325279146432877,52.52802097872521,60.57142857142858
Joint teacher-student,2,0.8590169548988342,0.33031418547034264,1.4380694478750229,75.79576341622301,79.42857142857143
Joint teacher-student,3,0.706339493393898,0.4135418236255646,1.4317127019166946,84.74046652336598,89.14285714285714
Joint teacher-student,4,0.5346003957092762,0.44805070757865906,1.425162896513939,93.6698640701822,96.0
Joint teacher-student,5,0.40932485088706017,0.43975184485316277,1.4085896611213684,94.99501138738017,95.42857142857143
Joint teacher-student,6,0.29797518625855446,0.39952581748366356,1.3834641724824905,96.5738674550935,96.0
Joint teacher-student,7,0.2547942250967026,0.4412200227379799,1.3441215306520462,98.28298887122418,97.71428571428571
Joint teacher-student,8,0.18202798999845982,0.4119919575750828,1.300551101565361,98.28298887122418,98.28571428571429
Joint teacher-student,9,0.13572047278285027,0.453754473477602,1.2543076127767563,98.28298887122418,98.85714285714286
Joint teacher-student,10,0.1366037568077445,0.4380934089422226,1.1802868098020554,99.42014045486759,100.0
Joint teacher-student,11,0.08509116992354393,0.43349162489175797,1.1366190165281296,99.42014045486759,99.42857142857143
Joint teacher-student,12,0.0552432332187891,0.4275242052972317,1.082276701927185,99.42766295707473,99.42857142857143
Joint teacher-student,13,0.057240692898631096,0.4380263052880764,1.0193914026021957,98.84792626728111,98.85714285714286
Joint teacher-student,14,0.042410668451339006,0.42761988565325737,0.9714686870574951,98.86248736097066,98.85714285714286
Joint teacher-student,15,0.04643232864327729,0.45988092198967934,0.9137910380959511,99.42766295707473,99.42857142857143
Joint teacher-student,16,0.030213604448363185,0.43708302453160286,0.8782120198011398,100.0,100.0
Joint teacher-student,17,0.02847737562842667,0.44464392215013504,0.8320467993617058,100.0,100.0
Joint teacher-student,18,0.024929524632170796,0.4306754544377327,0.7942669168114662,100.0,100.0
Joint teacher-student,19,0.026176977553404868,0.46511950343847275,0.768224686384201,100.0,100.0
Joint teacher-student,20,0.017971494235098362,0.4526963531970978,0.7268878892064095,100.0,100.0
Joint teacher-student,21,0.019395140116102993,0.46235206723213196,0.6832529604434967,100.0,100.0
Joint teacher-student,22,0.015133261447772384,0.4532540887594223,0.6460359841585159,100.0,100.0
Joint teacher-student,23,0.02400232490617782,0.4833773747086525,0.6266455203294754,100.0,99.42857142857143
Joint teacher-student,24,0.013156300643458962,0.4403511509299278,0.6106306239962578,100.0,99.42857142857143
Joint teacher-student,25,0.02141252171713859,0.45915720239281654,0.5770862326025963,99.42014045486759,99.42857142857143
Joint teacher-student,26,0.012009426485747099,0.46139786019921303,0.5502164587378502,99.42014045486759,99.42857142857143
