feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,label,source_file,dataset_type,row_mean,row_std,row_max,row_min,row_range,row_energy,row_abs_mean,row_coeff_var,positive_ratio,pca_1,pca_2,pca_3
165.245,42,82.098,71.0,124.0,1832.0,8296.0,0.0,976,2616.676187,226682.0,30.20528435,0.965995999,132,510.8111821,14212.5,18.35905462,0.250302269,quasistable,a01.csv,train_data,14210.672833685445,53154.63651794587,226682.0,0.0,226682.0,51667039519.98289,14210.672833685445,3.7404728924549144,0.9444444444444444,-3.210778149951963,4.757013513917677,-2.7243258061102567
163.11,45,96.0,49.0,133.0,1865.0,6585.0,108.0,940,2505.019333,212841.0,29.48267419,0.963929791,148,599.8822498,19509.0,18.44577957,0.462582152,quasistable,a01.csv,train_data,13646.464808250164,49931.880700747075,212841.0,0.462582152,212840.537417848,45736344107.06243,13646.464808250164,3.6589608665945517,1.0,-2.5971459345126124,3.890637100545116,-1.768003355399513
165.109,46,81.099,50.0,125.0,2057.0,6655.0,52.0,936,2563.747255,223373.5,29.42515556,0.96197929,156,632.1248904,21353.5,18.71271113,0.50743134,quasistable,a01.csv,train_data,14349.760412373334,52413.324710486486,223373.5,0.50743134,223372.99256866,50408143552.5825,14349.760412373334,3.652557478610735,1.0,-2.6243896908954,3.6027666383576706,-1.5291468082260362
165.048,51,91.0,49.0,136.0,2114.0,6637.0,83.0,972,2573.019333,220739.0,29.99211054,0.960495177,152,641.539104,21337.0,19.28914196,0.606691398,quasistable,a01.csv,train_data,14210.636382004166,51792.91353455995,220739.0,0.606691398,220738.393308602,49237559525.64058,14210.636382004166,3.644658278650252,1.0,-2.897620267707791,3.163248815758242,-0.8750794471082333
165.027,47,81.154,50.0,128.0,2144.0,6599.0,0.0,1020,2767.303604,243050.0,31.5077936,0.971515338,156,668.1248904,23171.5,19.26465137,0.6406172,quasistable,a01.csv,train_data,15561.083003994889,57039.170414534114,243050.0,0.0,243050.0,59667589823.46041,15561.083003994889,3.6655013278889936,0.9444444444444444,-3.032688434502922,2.85717798960567,-0.8966218783617265
164.149,43,95.131,44.0,133.0,1868.0,6195.0,87.0,960,2563.948265,220442.5,29.82106766,0.957570266,156,673.539104,23841.0,19.02835135,0.639068196,quasistable,a01.csv,train_data,14295.372968137332,51754.373420777876,220442.5,0.639068196,220441.860931804,49213196248.38115,14295.372968137332,3.6203583870202025,1.0,-2.4530329027021005,3.1322861919781255,-0.8038964958410492
167.027,46,81.154,56.0,127.0,2168.0,7174.0,4.0,1020,3187.68838,235654.5,43.11972488,0.930459067,160,723.7817446,25148.5,20.83066639,0.704335291,quasistable,a01.csv,train_data,15321.290906123779,55310.94515914238,235654.5,0.704335291,235653.795664709,56233466315.30143,15321.290906123779,3.6100708157062082,1.0,-3.808202725990114,1.3447962783337875,-1.0646868409617416
166.027,36,100.125,58.0,133.0,1473.0,7679.0,23.0,1004,2649.504614,215986.0,32.50152649,0.959429364,168,714.9533175,26244.5,19.47677594,0.58534444,quasistable,a01.csv,train_data,14249.36850042967,50732.10543759691,215986.0,0.58534444,215985.41465556,47408491924.13332,14249.36850042967,3.5603055276496747,1.0,-2.558176474740141,2.988704085677278,-1.1917846879390221
167.027,32,97.082,63.0,128.0,1403.0,8261.0,15.0,1036,2775.989895,241196.0,31.94961732,0.969083446,176,764.0243852,29701.0,19.65365682,0.625355535,quasistable,a01.csv,train_data,15881.573388517834,56671.0259439401,241196.0,0.625355535,241195.374644465,59137326805.46624,15881.573388517834,3.5683508527506786,1.0,-2.6220808403095317,2.6582261380733563,-0.9880858843371417
169.027,45,96.13,47.0,139.0,1827.0,6614.0,16.0,980,2585.705625,224535.0,29.77653184,0.959379552,172,717.539104,26759.0,19.24071773,0.603501749,quasistable,a01.csv,train_data,14708.498992215056,52744.23741275851,224535.0,0.603501749,224534.396498251,51187346831.18024,14708.498992215056,3.585970087136362,1.0,-2.3966286786986077,2.931764785320453,-1.0585874971568434
168.012,41,89.09,50.0,130.0,1825.0,6810.0,5.0,1012,2704.717817,236913.5,30.8783521,0.962367493,180,790.2670258,29292.5,21.32020046,0.60657756,quasistable,a01.csv,train_data,15559.158574467388,55670.905659695396,236913.5,0.60657756,236912.89342244,57044819008.319565,15559.158574467388,3.5780151859273075,1.0,-2.44287724096446,2.3537739332363583,-0.6029257602226995
167.108,41,103.005,36.0,140.0,1704.0,5861.0,43.0,964,2594.232536,218403.5,30.81471886,0.95345704,184,750.0243852,28520.0,19.72428396,0.577007604,quasistable,a01.csv,train_data,14420.163299370224,51344.347422877865,218403.5,0.577007604,218402.922992396,48559054181.22922,14420.163299370224,3.5605940346819955,1.0,-1.978415470100577,2.6902735569556513,-1.2759792876497817
171.187,33,94.133,69.0,128.0,1445.0,8867.0,0.0,980,2661.404109,223913.5,31.63307184,0.959387387,184,766.2670258,29160.5,20.13563399,0.524385996,quasistable,a01.csv,train_data,14918.124645222946,52620.23782227649,223913.5,0.0,223913.5,51077028256.787285,14918.124645222946,3.5272689479187616,0.9444444444444444,-2.4866050204857357,2.917833695288229,-1.3333055809916472
167.048,40,101.124,61.0,138.0,1660.0,8282.0,28.0,972,2623.161468,221124.0,31.11817844,0.955496653,188,770.6101717,30585.5,19.41573741,0.550170163,quasistable,a01.csv,train_data,14821.804623464779,51993.67428700186,221124.0,0.550170163,221123.449829837,49911162880.99915,14821.804623464779,3.507917936301045,1.0,-2.47085116628244,2.760921593882753,-1.468912934877803
164.11,34,93.193,66.0,129.0,1434.0,8572.0,0.0,968,2562.090401,216089.5,30.37772414,0.955143395,188,768.8528123,30107.0,19.63445866,0.542907155,quasistable,a01.csv,train_data,14512.625358147223,50813.22927703299,216089.5,0.0,216089.5,47684825888.67236,14512.625358147223,3.5013119971781688,0.9444444444444444,-2.2782384156229085,3.0394669607227933,-1.322687480525418
169.047,46,96.13,58.0,138.0,1871.0,7811.0,41.0,980,2562.232536,221911.5,29.58402592,0.960279677,192,776.8528123,31171.0,19.36095383,0.524415035,quasistable,a01.csv,train_data,14881.89955682011,52188.91683652587,221911.5,0.524415035,221910.975584965,50289088509.233894,14881.89955682011,3.5068719982462597,1.0,-2.45893378595352,2.784433183617048,-1.5821674980453486
169.189,42,87.092,51.0,127.0,1784.0,6719.0,23.0,984,2668.090401,229980.5,30.95352165,0.951413255,188,770.6101717,30993.5,19.16014767,0.537622387,quasistable,a01.csv,train_data,15257.69912653678,54079.66719019496,229980.5,0.537622387,229979.962377613,53908729745.28481,15257.69912653678,3.544418246925417,1.0,-2.3018381126834946,2.704298717579385,-1.6984788878703831
167.048,40,101.005,47.0,137.0,1637.0,6748.0,41.0,968,2552.676187,221326.0,29.44143804,0.95725142,188,762.2670258,30122.5,19.28960142,0.452052915,quasistable,a01.csv,train_data,14715.979808699725,52046.82881501736,221326.0,0.452052915,221325.547947085,49948911736.0363,14715.979808699725,3.5367559273388345,1.0,-1.9987635044230903,3.084977250991614,-1.958111677683885
160.312,34,92.136,59.0,125.0,1725.0,7808.0,13.0,916,2503.362479,216261.0,28.97805753,0.960866334,192,775.0954529,30704.5,19.56628381,0.519769658,quasistable,a01.csv,train_data,14523.246161624002,50867.001939528905,216261.0,0.519769658,216260.480230342,47783326290.652916,14523.246161624002,3.502454022568252,1.0,-1.9896232118244885,3.160312695594097,-1.4022781817276733
167.048,38,99.02,63.0,133.0,1434.0,8063.0,31.0,916,2408.877198,207895.0,27.91163497,0.961030673,188,776.8528123,30367.0,19.87355656,0.54263156,quasistable,a01.csv,train_data,14034.949270225721,48912.4434778506,207895.0,0.54263156,207894.45736844,44216897576.877365,14034.949270225721,3.4850459760204,1.0,-1.9698394547541207,3.1984081808283724,-1.041816613913941
159.079,29,91.137,70.0,120.0,1105.0,8301.0,6.0,864,2329.119838,204107.5,26.5781474,0.950488985,180,782.2670258,29812.5,20.52634632,0.63313921,quasistable,a01.csv,train_data,13778.07172142861,48024.88338292396,204107.5,0.63313921,204106.86686079,42625654893.53353,13778.07172142861,3.4856026557208537,1.0,-1.65212985069657,3.3941133974898334,-0.09116035526637836
166.048,45,98.046,44.0,138.0,1841.0,6341.0,86.0,872,2300.735062,208907.0,25.33846078,0.949749148,184,759.6812394,29968.0,19.25772776,0.611646407,quasistable,a01.csv,train_data,13988.70377141639,49150.571521338345,208907.0,0.611646407,208906.388353593,44590546572.541245,13988.70377141639,3.513590131329354,1.0,-1.6815368188009323,3.167907375309358,-0.7182403337775694
156.461,29,97.252,78.0,127.0,1170.0,9819.0,0.0,856,2531.303604,219060.0,29.24996774,0.952531797,188,894.6518018,37475.0,21.3582881,0.749643492,quasistable,a01.csv,train_data,15140.776602051612,51661.28319382063,219060.0,0.0,219060.0,49497475170.98448,15140.776602051612,3.412062970853186,0.9444444444444444,-1.9947350196529274,2.3489103596345324,0.48169826768643886
164.012,41,104.019,53.0,136.0,1599.0,7102.0,103.0,884,2370.090401,219689.5,25.56939912,0.947477925,188,893.8233747,38759.0,20.61250871,0.757287764,quasistable,a01.csv,train_data,15118.573969401057,51854.86199927466,219689.5,0.757287764,219688.742712236,49826037140.013466,15118.573969401057,3.4298778511931944,1.0,-1.6346820246103158,2.285576666477254,0.39179788207180277
149.335,35,85.147,53.0,120.0,1704.0,6932.0,9.0,880,2695.244729,222919.0,32.58737096,0.953044163,188,894.4091612,38074.5,21.01059102,0.747675362,quasistable,a01.csv,train_data,15266.329698428055,52584.572314594414,222919.0,0.747675362,222918.252324638,51202427977.94967,15266.329698428055,3.444480327187546,1.0,-1.9856223335284091,1.8534809542339175,-0.09918654272308065
163.028,46,96.0,64.0,136.0,1837.0,8174.0,67.0,884,2396.232536,219558.5,26.15216613,0.938732172,196,886.9949477,38678.0,20.34128024,0.723089507,quasistable,a01.csv,train_data,15179.495041763834,51809.61689566079,219558.5,0.723089507,219557.776910493,49779526103.89017,15179.495041763834,3.413131777645786,1.0,-2.0287977312364736,2.260087423507169,0.04813607883229079
149.03,33,88.142,68.0,121.0,1445.0,8027.0,4.0,868,2604.658942,223300.5,30.38169733,0.943695045,188,873.5807341,37268.5,20.4768987,0.7314513,quasistable,a01.csv,train_data,15282.830301026386,52649.11303791928,223300.5,0.7314513,223299.7685487,51326962998.73269,15282.830301026386,3.4449844695575393,1.0,-2.0083850368517524,2.284049259931132,-0.0808117653788101
164.027,41,99.005,49.0,136.0,1616.0,6822.0,34.0,892,2421.646749,229386.0,25.56552265,0.940299481,192,862.7523071,36793.5,20.23024565,0.710940112,quasistable,a01.csv,train_data,15530.909892444055,54062.37552630109,229386.0,0.710940112,229385.289059888,54028352525.865486,15530.909892444055,3.48095352433942,1.0,-1.5814787499112106,2.4463427953240577,-0.011001995702365238
154.392,30,96.083,67.0,125.0,1440.0,8642.0,6.0,900,2445.989895,233141.0,25.66200955,0.936138117,184,888.0660154,36542.5,21.58202771,0.749939899,quasistable,a01.csv,train_data,15817.275612537554,54917.66930875846,233141.0,0.749939899,233140.250060101,55774508579.65813,15817.275612537554,3.472005587689703,1.0,-1.77816629026695,2.476515679746488,0.7864426759500316
165.109,47,97.0,47.0,137.0,2004.0,6640.0,92.0,888,2431.060963,232453.5,25.42468668,0.939944129,192,875.4802289,36645.0,20.91596756,0.681431999,quasistable,a01.csv,train_data,15709.006234570448,54767.55740867313,232453.5,0.681431999,232452.818568001,55433162640.50913,15709.006234570448,3.486379506817397,1.0,-1.8067531738629232,2.219542544035545,-0.0028664121420691946
156.205,40,89.14,53.0,129.0,1960.0,7373.0,4.0,884,2466.232536,237787.5,25.57873278,0.940170379,200,883.9655101,36342.0,21.50115632,0.666438081,quasistable,a01.csv,train_data,16023.151641314445,55998.02178211067,237787.5,0.666438081,237786.833561919,57929578533.035645,16023.151641314445,3.4948194360043465,1.0,-1.7350247819127025,2.3033354906452947,0.08422283999304066
169.027,51,99.02,39.0,141.0,2066.0,5898.0,102.0,884,2414.575682,236636.5,24.63768575,0.927293518,200,892.0660154,38016.5,20.93253655,0.639420164,quasistable,a01.csv,train_data,15980.879201854554,55778.801795382504,236636.5,0.639420164,236635.860579836,57488663406.54244,15980.879201854554,3.4903462500930154,1.0,-1.5982812117994165,2.0893982120724,-0.290580389893375
157.385,41,89.09,57.0,127.0,1908.0,7528.0,22.0,896,2480.717817,245677.5,25.04893972,0.940503169,200,886.6518018,37983.0,20.69745459,0.619692746,quasistable,a01.csv,train_data,16561.14728939028,57869.73352330331,245677.5,0.619692746,245676.880307254,61868291778.724106,16561.14728939028,3.4943070375551173,1.0,-1.7935861173762462,2.4370959033436956,-0.3875089589154781
169.047,45,105.043,41.0,143.0,1825.0,6240.0,85.0,892,2434.232536,240431.5,24.64522344,0.92870704,208,900.308656,38169.0,21.23596835,0.611623348,quasistable,a01.csv,train_data,16207.530706343225,56665.05358981815,240431.5,0.611623348,240430.888376652,59314094000.475426,16207.530706343225,3.4962175680247736,1.0,-1.430634730414103,2.1251100731429156,-0.38512917444975286
157.385,29,101.178,59.0,128.0,1308.0,8088.0,18.0,896,2468.575682,249977.5,24.37765758,0.932608204,200,894.308656,36576.0,21.86646906,0.648966553,quasistable,a01.csv,train_data,16719.376279966502,58846.65950507677,249977.5,0.648966553,249976.851033447,63901474470.84944,16719.376279966502,3.5196683488479197,1.0,-1.4276122808659077,2.4831367639759803,0.24697946757615152
170.106,41,106.019,52.0,141.0,1575.0,7401.0,41.0,892,2455.88939,246913.5,24.42714836,0.928052788,184,878.0660154,35779.5,21.54865013,0.758807684,quasistable,a01.csv,train_data,16482.096836908997,58118.303452895045,246913.5,0.758807684,246912.741192316,62311403626.66988,16482.096836908997,3.5261474330589104,1.0,-1.7052472175718305,2.186736670294301,0.8116239109469682
154.392,25,95.084,66.0,119.0,1117.0,8159.0,9.0,900,2485.161468,254097.0,24.30578686,0.927908548,180,863.2375883,34970.5,21.30879266,0.73728116,quasistable,a01.csv,train_data,16849.314156973778,59780.808462305205,254097.0,0.73728116,254096.26271884,65863855003.003136,16849.314156973778,3.5479668730351537,1.0,-1.5660113409577439,2.7035661447016506,0.7613943839898347
